,raw_loss_history,loss_history,rmse_train_history,rmse_val_history,std_train_history,std_val_history
0,190.85484313964844,500.6724548339844,6.795027,6.0692735,6.0692735,4.9296355
1,337.4604797363281,7.002692222595215,4.1450977,4.0406647,4.0406647,3.936733
2,170.2728271484375,3.4000182151794434,1.8281574,1.2960192,1.2960192,1.2948064
3,220.86708068847656,0.13251404464244843,1.3265666,1.2739236,1.2739236,0.87561613
4,256.9364929199219,,,,,
5,163.72509765625,,,,,
6,182.30360412597656,,,,,
7,41.59203338623047,,,,,
8,146.0320281982422,,,,,
9,32.6618766784668,,,,,
10,14.338761329650879,,,,,
11,296.0903625488281,,,,,
12,47.91200256347656,,,,,
13,26.442882537841797,,,,,
14,44.4396858215332,,,,,
15,192.433837890625,,,,,
16,68.466796875,,,,,
17,199.79107666015625,,,,,
18,87.60033416748047,,,,,
19,10.100199699401855,,,,,
20,36.230953216552734,,,,,
21,24.189119338989258,,,,,
22,55.62053298950195,,,,,
23,13.778092384338379,,,,,
24,43.90725326538086,,,,,
25,17.075836181640625,,,,,
26,19.120399475097656,,,,,
27,8.517038345336914,,,,,
28,11.415690422058105,,,,,
29,4.521119594573975,,,,,
30,223.990478515625,,,,,
31,123.80099487304688,,,,,
32,23.579578399658203,,,,,
33,12.5740966796875,,,,,
34,18.786361694335938,,,,,
35,17.730022430419922,,,,,
36,96.72628784179688,,,,,
37,188.8189697265625,,,,,
38,221.20582580566406,,,,,
39,10.430648803710938,,,,,
40,32.71123123168945,,,,,
41,30.43751335144043,,,,,
42,66.20901489257812,,,,,
43,29.123750686645508,,,,,
44,57.498992919921875,,,,,
45,42.04472732543945,,,,,
46,53.510868072509766,,,,,
47,68.29013061523438,,,,,
48,32.79619598388672,,,,,
49,112.40412902832031,,,,,
50,131.58935546875,,,,,
51,25.355342864990234,,,,,
52,35.53121566772461,,,,,
53,27.501909255981445,,,,,
54,28.61651611328125,,,,,
55,22.426843643188477,,,,,
56,256.99322509765625,,,,,
57,29.988113403320312,,,,,
58,57.08614730834961,,,,,
59,56.21465301513672,,,,,
60,54.83871841430664,,,,,
61,9.223520278930664,,,,,
62,5.123146057128906,,,,,
63,7.188713073730469,,,,,
64,60.410152435302734,,,,,
65,9.350898742675781,,,,,
66,12.385612487792969,,,,,
67,24.800195693969727,,,,,
68,14.719240188598633,,,,,
69,5.921577453613281,,,,,
70,9.141008377075195,,,,,
71,9.656330108642578,,,,,
72,13.44363784790039,,,,,
73,26.65802764892578,,,,,
74,27.747934341430664,,,,,
75,47.987579345703125,,,,,
76,15.576183319091797,,,,,
77,59.580535888671875,,,,,
78,22.78160858154297,,,,,
79,13.86393928527832,,,,,
80,11.091072082519531,,,,,
