,loss_history,rmse_train_history,rmse_val_history,std_train_history,std_val_history
0,1.5419397354125977,2.5921566,2.726246,2.726246,2.5675447
1,0.1342652440071106,4.732398,4.4501033,4.4501033,4.073974
2,0.07672000676393509,1.6357468,1.6494707,1.6494707,1.6097746
3,0.047354161739349365,2.2519302,2.1708612,2.1708612,2.0597007
4,0.039079271256923676,1.9042724,1.8603208,1.8603208,1.6029179
5,0.008221909403800964,1.0467803,1.0378693,1.0378693,1.0378408
6,0.036004070192575455,1.164406,1.0902625,1.0902625,1.013575
7,0.02130795270204544,1.0723585,0.98786974,0.98786974,0.9838811
8,0.01877444237470627,0.9879618,0.97053814,0.97053814,0.95835
9,0.016199501231312752,0.946784,0.97076225,0.97076225,0.9331373
