,lr_history,train_loss_history,train_epoch_loss_history,rmse_train_history,val_loss_history,val_epoch_loss_history,rmse_val_history
0,1.75377060680463e-08,50.730167,0.988971,6.44574,13.009842,3.3452246,4.9450293
1,3.50754121360926e-08,73.20583,0.9650901,2.418335,3.9660726,1.4091498,3.6228838
2,5.2613118204138905e-08,112.02296,0.6035633,1.6813055,7.2351313,0.39362773,1.8337181
3,7.01508242721852e-08,20.783855,0.54349935,1.6883298,10.725505,0.46524343,2.069758
4,8.76885303402315e-08,4.143387,0.043377154,1.0171684,2.509624,0.49050128,1.3130804
5,1.0522623640827781e-07,7.035967,0.078271426,1.0168804,4.5803,0.33452794,2.4099364
6,1.227639424763241e-07,3.5842805,0.043935847,0.9541222,3.0004172,0.28037715,1.1583424
7,1.403016485443704e-07,2.8901246,0.27589163,0.7029704,10.062018,0.11986941,1.3427521
8,1.578393546124167e-07,107.551216,0.039119754,0.67148864,14.495316,0.193077,1.2624
9,1.75377060680463e-07,14.556169,0.059654903,0.65753037,3.7534018,0.2094472,1.0104948
10,1.929147667485093e-07,76.099815,0.009719302,0.53702796,10.348506,0.3196155,1.7088916
11,2.1045247281655562e-07,63.187218,0.00041748933,0.50725687,6.933333,0.23805612,0.8926536
12,2.279901788846019e-07,6.5214686,0.009407196,0.46152946,12.327196,0.061829284,0.76889557
13,2.455278849526482e-07,48.207798,0.0017304289,0.43676308,6.0628777,0.055452835,0.7830202
14,2.6306559102069453e-07,5.1832952,0.022917863,0.39225066,3.981643,0.1719038,0.74352807
15,2.806032970887408e-07,6.4408665,0.032786455,0.36380103,2.4953809,0.14657362,0.6821695
16,2.981410031567871e-07,4.1900835,0.017156165,0.31743923,4.1463,0.10471925,0.7847022
17,3.156787092248334e-07,158.24825,0.0035801076,0.29396,8.215535,0.19966514,0.85525894
18,3.3321641529287973e-07,148.11041,0.016404897,0.28997612,7.9728923,0.62520367,0.7222946
19,3.50754121360926e-07,225.14908,0.037145,0.25758785,6.326282,0.1397666,0.72645247
20,3.682918274289723e-07,13.880066,0.00073335116,0.23896158,12.639731,0.051940642,0.6376854
21,3.858295334970186e-07,1.871132,0.102324314,0.19868934,4.0658574,0.041570302,0.64264643
22,4.033672395650649e-07,127.789856,0.008900238,0.17428549,9.167334,0.059812125,0.6577915
23,4.2090494563311124e-07,21.513336,0.0013364793,0.1508402,9.232224,0.08581663,0.6056394
24,4.3844265170115744e-07,33.53798,0.0011869267,0.13385239,12.161054,0.16170877,0.69924897
25,4.559803577692038e-07,73.42249,0.0011498656,0.12016931,5.2911563,0.04498758,0.6284807
26,4.735180638372501e-07,57.72355,0.0023298177,0.10493189,8.877058,0.08152189,0.5905554
27,4.910557699052964e-07,149.22638,0.0012061655,0.109942935,11.141995,0.03396293,0.62772125
28,5.085934759733426e-07,8.620035,0.012579922,0.084953144,4.606447,0.026156463,0.61690277
29,5.261311820413891e-07,8.561722,0.008004174,0.082064964,8.188029,0.2516198,0.65661275
30,5.436688881094354e-07,156.06245,,,7.1282897,,
31,5.612065941774816e-07,263.83328,,,7.988739,,
32,5.787443002455279e-07,8.675208,,,10.719842,,
