10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
-9.762819,-0.8444492,-0.8204696,4.3314323,0.76522535,4.3458066,-2.185582,3.5422657
-2.1955342,2.9425526,-0.63883096,4.527913,-3.3120883,1.9492761,-2.1974697,0.76908606
-0.6354347,3.2297883,-0.5715374,7.5037665,-0.2401631,4.3265133,0.042446207,6.8526106
-4.2459497,-2.5815508,1.9277457,8.596971,-2.366768,7.5416145,0.7093663,0.7504909
-8.88392,-0.8108897,0.3877925,3.4211886,-9.98377,4.003223,-5.3672714,3.5829532
-0.18142177,-0.94551253,-0.6869061,4.116544,-2.9122064,0.9104044,0.42879924,2.711906
-2.902814,-8.494573,4.338267,2.3886843,-0.23334144,3.789131,-0.035329152,-1.0781214
-0.9908457,-0.35893068,-0.27993187,1.0784936,-6.66358,1.3409573,-2.1525135,0.98500204
-0.85439175,-2.5590901,-1.053233,4.2877593,-0.3159816,1.7018389,-1.0293709,1.0454766
-1.2001216,-1.8333101,-1.0228839,4.0732813,-2.7633152,2.5912933,-5.1694713,2.0694413
-3.1247544,2.8940864,-0.09248076,5.3636484,-13.607105,2.0726275,-0.57165605,4.9506197
-0.40995347,0.9877277,-2.0752146,4.741234,-0.5527262,3.761561,-1.0302384,0.75455487
-0.41532928,-0.83854914,0.13192509,5.614345,-1.1019024,4.0914793,-2.0759606,-1.0494722
-0.4301576,-7.5645323,1.5429686,7.3140683,-1.016829,2.6909902,-3.642369,-0.7721392
-0.20896195,-0.60114926,1.9033722,5.2177453,-2.8216467,4.853541,-2.456358,5.872313
-0.3165388,1.0045526,1.1327407,2.2480397,-1.3064836,5.0095286,-3.564136,-0.78125066
-2.820483,1.3215903,-0.616317,8.279995,-4.799712,1.6964089,-0.43026775,4.878213
-2.1070192,-1.2726663,-9.187279,8.272334,-1.4251633,6.4006896,-4.340295,3.8760228
-11.29028,-1.9964279,-1.2146125,3.7043016,-2.8403971,1.0684823,-3.2168891,1.2976642
-3.198711,3.6627822,-0.14705652,2.4299207,-3.3830113,3.4653082,-3.635095,0.78438574
-4.6262355,0.93173635,1.3875272,2.7761405,-3.5933213,3.9855313,-4.358012,5.145386
-11.54106,-9.531613,-0.45919785,2.2223685,-1.2881702,4.0100193,-2.0612144,6.0241857
-11.167495,1.1197296,-0.6870111,4.226205,0.7774906,4.252233,-2.8148847,3.659878
-0.3590579,-1.8958008,-3.4115949,4.838939,-0.6649496,1.2107944,-3.1407769,0.69181615
-2.396817,-0.8450118,2.605792,2.3953917,-1.248777,1.6432956,-1.5063674,0.9100851
-0.33189574,-1.5531427,1.5856557,3.9073133,-2.6860008,2.5912166,-1.5286031,6.1240087
-1.3193381,-1.4038976,-0.18603043,6.039436,-7.4414496,9.233905,-3.3827124,1.077271
-7.401838,2.3658693,-5.698063,2.0609915,0.086750224,4.342342,-3.43928,0.92858124
-2.7429216,-0.9512645,-4.398826,2.4804966,-0.6376545,1.8356969,-4.3520937,1.0163867
-0.6658239,0.6698784,2.6305873,9.130665,-1.7496724,4.075003,0.33852464,-1.0095122
-0.31387758,-0.965638,0.36924598,4.9108725,-1.1835812,1.9723622,-2.2350564,0.6332029
-1.5385965,1.4142914,-0.53021985,2.7068286,-5.8325305,1.1282977,-0.49065685,3.4833348
-8.404567,-1.6155375,1.8450415,6.4986734,-0.82483065,3.7728255,-1.7801077,1.6006206
-2.5128272,1.9878552,-2.9957669,6.249083,0.0064955098,4.2348466,-3.2234802,0.7642435
-12.107062,-2.4508898,1.6289351,6.7822614,-0.3352991,9.162572,-3.4063585,0.92188084
-1.4415331,-1.0358591,-0.3802665,3.8102055,-1.322941,7.107428,-2.2495875,0.7037553
0.09259175,-2.8871415,1.4779751,4.7183437,-0.67084235,1.4533515,-2.1726727,1.4844767
-1.7098099,-5.386626,-0.59389,1.4584972,-8.599527,1.6371553,-4.0303783,4.8499837
-1.5646871,3.6209118,-3.49309,2.3324182,-2.7115235,1.3766724,-2.2978668,0.8752477
-0.5115807,3.1927488,-1.2796324,4.4244843,-0.34271157,1.4018109,-1.0920755,0.80975986
-1.5663317,1.7240703,-0.62518513,2.6251702,-1.0509902,4.97993,-1.7984195,5.7473035
-2.5884748,3.2554886,0.17736122,2.5465846,0.61839503,4.1265984,-3.4106138,5.6703815
-0.7454562,-0.960975,1.0983166,2.678077,-1.5227565,1.5749595,-4.242466,5.6363263
-8.385632,-7.9791894,-11.664885,2.8476696,0.484105,3.885621,-3.3657975,4.213028
-4.887979,7.769093,-4.5793614,2.767093,-1.311748,4.3079877,-3.3496134,5.935207
-0.08254198,0.76546973,-3.4343505,2.786327,-2.0808187,4.432082,-1.2115252,0.965495
-2.2261257,-2.155184,1.606165,7.10814,0.42886415,4.579331,-3.2508352,0.69307977
-0.92103934,-9.213446,1.5973251,4.406282,0.70133406,2.159166,-1.6537731,-0.7943441
-1.4384809,1.2861341,1.670227,4.0017796,2.372174,3.9306302,-3.6294975,6.175744
-3.3321884,-0.65608984,3.3996274,3.2499986,-2.4825003,1.2928762,-3.876139,1.3800465
-2.1191125,1.3914759,-2.8558702,4.3798294,-0.8450412,5.7469788,-5.0902834,4.9509373
-0.2290888,-1.5730249,-4.8767924,5.612221,-1.1844726,5.709635,-3.7765036,1.2952633
-0.39198452,2.1782577,-0.57923585,5.4763155,-3.3698921,1.9319599,-3.1222672,1.2258686
-3.59949,-2.10578,-1.9638551,7.4498286,-0.1422865,3.320573,-1.8343326,1.7575237
-0.25028586,0.7904951,-14.822678,1.4991744,-2.6471148,8.7167845,-2.185845,0.8005732
-2.3203356,1.4177039,-1.1279442,5.092655,-0.39516398,4.3692856,-4.7938023,1.0348248
-2.2744632,-0.8750206,-13.769942,3.314817,0.34877336,8.693697,-2.2103584,0.7390367
-0.40202406,-0.48705885,0.51210624,3.7997475,-1.5393094,4.10786,-2.6468005,5.3919353
-1.3132707,0.8276439,1.8333336,4.128271,-3.5682306,4.9690886,-3.8303869,4.872103
0.057574008,4.062247,0.07910895,8.063364,-0.68356186,3.9809449,-0.6978643,1.0932263
-0.6963471,2.675522,-0.6057541,3.989181,-2.8522065,3.6532376,-2.2367263,0.117585115
-5.437923,2.9270651,-2.0679898,4.8983026,-0.03673446,7.1458254,-2.0633147,-0.87467396
-3.3796675,1.2532073,-0.32557034,5.488144,-0.72033393,1.3218123,-4.3538494,4.872404
-1.2362117,2.8022468,-1.5963142,2.6545238,-0.17892021,3.8753603,-4.377164,4.2510343
-4.3351984,2.7343862,1.3398508,4.3255353,-2.2992754,3.9800534,-2.6812828,0.86005735
-0.58122474,-0.8662872,-1.6196375,5.924535,-5.0144615,8.6015625,-2.2842643,5.9543505
-9.410362,-3.0610507,1.692654,4.3620896,-2.847359,1.484323,-3.478943,0.7257315
-3.0317113,1.1821178,-1.0002598,3.030017,-0.32065004,3.7427216,-4.5461087,-0.54162717
-0.29369128,8.148272,-0.48817664,6.928209,-0.7119584,3.900931,-3.8471653,-1.2521716
-0.30722776,2.5956438,-1.2515084,6.156587,-5.1219654,1.5209943,-1.9941965,3.2505348
-0.92169726,2.3741255,0.85632896,4.2109222,0.14195694,4.0057898,-3.605602,-1.1433941
-1.9291599,1.197823,-13.009618,5.50795,0.9110328,4.03901,-1.9908634,0.5658914
-0.66418505,2.5324433,-5.8314,3.6040533,-0.2108189,7.2788897,-2.0493982,1.9244262
-2.7395363,1.1570963,-0.6633257,8.178765,-1.8548231,3.6591797,-4.6460586,4.6011534
-0.27092713,2.175187,-0.3539916,3.345033,1.4297292,2.4149516,-2.056208,6.5367537
-1.800767,-1.2520803,-2.0929458,3.360002,-3.8763523,3.163168,-2.5692337,4.3384166
-1.4931266,0.44491166,-0.9719017,3.7811072,-2.730713,6.553085,-1.7618335,6.114851
-0.31836706,0.33195785,1.0670036,7.0440454,-0.8287153,3.2140734,-3.191211,0.87580097
-0.32005495,-1.5793098,0.16788946,1.8096389,-1.8362912,4.591635,-3.9818156,-0.7205849
-1.5450963,-0.9779366,0.38888022,2.2970266,-2.5105674,1.6922852,-5.9409375,1.1085055
-5.8911095,2.347398,-2.1484785,4.053099,0.33528373,1.2345805,-3.3242016,1.189655
-0.19912134,1.759901,0.8740208,3.5270686,-1.1011938,1.2924186,-1.6791439,-0.92699325
-0.92926574,0.15895002,-1.1613635,2.4123135,-6.24226,4.5824795,-1.1304235,1.0395718
-11.658019,-10.206619,0.91952187,2.8753054,-1.3786411,7.5281744,-2.2003145,8.062857
-3.3186204,2.4573545,1.5350507,2.586823,-0.058821585,5.8404365,-4.2973876,5.870426
-0.87505263,-0.12598753,-2.8961828,6.9841137,-4.1415687,8.929666,-4.3034015,0.29855096
-2.5919147,-2.7662146,-0.51533604,4.9055576,-2.8595815,1.2270912,-1.9523515,-0.9882088
-0.21445449,-0.49907678,-0.63719773,7.205603,-1.9987011,3.9669087,-2.5580935,4.6344776
-2.120944,-0.8950515,2.3190403,2.3307917,-1.2659806,5.5989943,-5.05713,1.3137902
-0.34330449,1.2872149,-1.9235946,1.2696646,-3.9701548,0.45961195,-2.6487985,3.49567
-4.8472714,2.5358093,0.005491472,6.3615885,-2.3584573,1.3834479,-3.366501,0.93308574
-2.6261547,2.4992023,1.6729796,5.466597,-1.1435221,5.5776534,-1.6336309,0.8640906
-2.3782027,-0.91785675,1.1031216,3.9102352,-3.3945713,4.728451,-2.2735717,1.6668222
-0.43767464,-0.7073941,-0.8223855,4.403076,-0.6678934,1.3065144,-2.034737,-0.97247547
-2.6483395,-2.6101496,-0.5856947,2.3900726,-0.73738205,2.0145352,0.3420012,1.0208503
-12.546193,3.538687,-11.980252,4.5289207,-1.1707712,4.09771,-4.4695354,0.9397896
-3.7813444,0.23654567,-13.092114,1.8886317,-2.9628403,6.267026,-3.7281594,0.9203338
-1.163465,-1.8711665,-0.24960242,3.9348137,-1.1458427,2.7423892,-2.8046122,1.3338915
-1.6889285,1.8870851,-0.07087687,3.401644,-3.654822,2.5870433,-3.8113,5.1992283
-2.3556666,1.8310066,1.5859665,7.995269,-1.0171757,4.1968403,-5.1864357,3.2633412
-2.5053005,-3.9232755,1.3606863,1.9059693,-6.7329254,6.275224,-2.1750872,5.65081
-1.9689854,-0.71644795,-3.499111,2.3699381,-1.751916,5.126137,-2.6803694,-0.8462911
-0.69173336,-0.81802386,1.7311908,3.5205123,-0.85584146,4.841231,-2.6521862,1.0872773
-3.2959507,3.4034567,0.8906686,3.5699348,-1.2111223,3.8493185,-1.6093018,6.140999
