10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
0.12952173,-1.5082679,-0.8432346,-1.593413,0.9700934,0.03650053,-1.2186422,-1.3758527
-0.83207196,-0.6414991,-0.024395727,-0.82889205,1.1462098,0.25209373,-1.9630816,-0.20265853
0.47957617,1.3640523,0.5819944,-1.0394813,0.5457287,1.7527665,-0.75597554,0.2181699
-0.92934877,-1.1673446,-1.0277975,-0.89855486,1.0929446,1.0564783,-2.1833656,-0.7459249
0.31148693,-1.0011693,0.9264468,-1.7067976,0.75145054,1.271747,-2.6297696,2.3146894
-1.0486919,-0.82228106,-0.5538404,0.14321797,-0.38853872,0.54235286,-2.573697,0.14937964
0.13631925,-0.898142,0.5560713,0.36340874,1.0076629,2.1570044,-1.0613499,0.10493219
-0.5777366,-0.68055713,0.6304529,-0.98041725,1.3746011,1.1858351,-3.301686,0.46422744
-0.05453991,-0.31495237,-0.007986198,2.4155288,-1.1877373,1.4747983,-1.860499,0.27852145
0.84751374,-2.6537035,-1.590938,-0.40994367,0.99524903,0.95274645,-2.5624137,-0.5225948
1.1760843,-0.82432824,1.3020884,0.06677363,-1.8475182,-1.7567724,-0.8297655,3.1766253
-0.1289354,-0.28620967,-0.9291874,-0.4980864,-0.001195283,0.95207536,-1.1149669,3.3523455
0.8929473,-0.5314663,0.5597835,1.4079802,-1.411853,-0.7411814,-2.538057,-1.0024805
-0.17110114,-0.75246125,1.5738343,1.4059107,-1.3800328,0.0671954,-1.0836607,-1.2681031
0.48868337,-0.9194506,-0.81849396,1.2274327,-1.5623066,1.3789997,0.44828236,-0.74657035
-1.2356629,-0.5757917,-1.5644274,-0.4894112,0.051458642,1.3748128,-1.1692703,2.7550933
-0.3141477,-0.003178599,-1.383687,-0.44819358,-0.9936695,0.087079786,0.76366293,0.07501255
0.6958712,7.167152,-0.84532636,-0.8403369,-1.265359,-0.37990022,-1.4363818,3.5070322
-0.79859763,0.027035167,0.97459793,-0.95089805,1.4542258,-0.794771,-1.5637137,0.41961607
-0.34841466,0.5959109,0.9951645,-0.3555079,1.4769139,0.79208165,0.64861864,-0.6791769
-0.37722066,0.15811972,0.40699816,0.023635868,-0.91702455,-0.014488538,-0.70080125,-2.2711163
0.33016643,-0.94209987,0.59379613,-0.6750019,1.3958789,0.4860943,-0.5434064,1.1386778
-1.146189,-0.9841491,1.5901533,0.29404476,-0.87584877,-0.24819198,-1.0139723,0.13022779
-0.5652137,-0.39724097,-1.4408472,-1.4538578,0.42735636,2.4046004,0.53022414,1.8706282
-0.828158,0.48312375,-1.4024376,-0.33386475,1.4163301,1.863501,-0.9786192,-0.784092
-0.13272253,-0.84218043,1.104427,-0.63843995,-2.222079,2.382416,-1.5025527,-0.52685684
-0.38461903,-1.3511292,0.38006756,0.20659101,0.76516557,-0.91093206,-2.3419847,-1.0512036
-0.06856741,0.20470418,-2.8174529e-05,-0.8022552,0.8952687,0.6398914,-2.6561716,0.37640488
-0.83654636,-0.7960983,0.7757131,-0.7599063,-0.54920524,1.8280796,-1.1472156,-0.8981459
0.17702313,0.102008976,0.08981869,-0.7973699,0.7639771,0.44043276,-2.0098138,-0.8509459
-0.24556728,-0.07158849,-0.31805968,-0.89116716,1.4276631,1.4678588,-1.1899145,-0.67226815
0.020733891,0.6470118,-0.9595058,0.13503796,-2.3240826,-0.5965248,0.23352757,-0.6706016
-0.95636046,-0.3848018,0.5511228,-0.24538648,1.2371589,1.2670803,-0.85206604,2.4152708
0.04217097,-0.49887785,-0.8578239,-1.3236257,1.1532604,1.5176765,-1.5380902,-0.9558781
2.05908,-0.5182807,-1.3343858,-0.28882563,1.2715336,2.7403297,-0.16499345,-0.8751077
0.7513532,0.19576986,0.74470747,-0.22866447,1.2099286,-0.034791276,-1.1283131,-1.5078428
-0.36495748,-0.9636457,-1.1287646,-0.5534818,-1.682436,2.9639416,-0.49577948,1.8458619
-0.39744014,-0.8969831,0.64587206,1.3445816,1.5341867,2.4121325,-1.0723157,2.5453348
-0.26160818,-1.506174,0.8784801,0.10629823,-0.52381057,-0.4512057,-2.4475503,-1.0108235
-0.9925622,-1.4168158,1.2939485,-0.75076413,-0.99849164,0.26681963,-1.2423294,-1.1692498
-0.61588943,-0.17588888,0.19317824,-1.097567,-0.69104093,1.3393812,-1.250751,0.2264754
0.19559611,0.007432099,0.94768184,0.41027066,0.34872553,0.33971992,-1.3165121,-0.32599124
-0.10702138,0.074678615,-1.0761646,0.35179913,-0.42260256,0.12354958,-2.040454,-0.81857425
1.2872753,-0.5745025,0.41495275,-1.3285469,1.0780975,-1.5959163,-0.90303975,0.15376462
0.4443772,-0.08753613,0.6341574,-1.9849604,0.11040147,-1.864814,-0.6923865,-0.8068741
0.025372444,0.1377948,-0.60606146,-0.0935992,-1.2079889,1.488515,-0.77167815,0.75853
-0.70433676,0.4454186,-0.6947651,-0.88683766,-1.6514884,1.0376235,-2.1364727,-0.18103415
-1.388676,-1.522444,0.7420078,0.20803474,-0.93568975,1.5051243,-0.8968926,-0.94546205
0.45863736,0.027284043,0.72452676,0.93449277,0.25725394,2.9906988,0.65439695,1.643323
