10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
-0.42611626,-0.49859315,0.23638088,-1.3903173,-1.2901305,-0.6496227,1.5635736,0.7149022
-0.43697476,0.04324278,0.1204444,-0.84007055,-0.34737998,0.31169567,-0.84674877,0.12892322
-0.61919165,0.27582917,0.15562329,0.04183747,-0.18357669,0.063773476,0.14051747,0.57348317
0.1968819,0.06657353,0.34184155,-0.1781501,-0.90263677,0.41286102,2.081647,0.90416676
0.29488146,-0.3586927,-3.7078278,-0.8624821,-1.6754845,-0.43219557,-0.20571505,0.7275756
0.11675695,-0.4707619,0.11385071,-0.8412402,-0.11541995,-0.6680044,0.072212175,0.07295325
-0.5750193,-0.06326612,-0.0067328587,-0.048083674,-0.48864877,-0.25340682,-0.768106,3.2579727
-0.20586488,-0.25987247,-0.03335437,-0.83162755,-2.69057,0.061434135,1.3402504,0.9374332
-0.1078299,1.0248033,-0.059560955,-1.4314795,-1.5127349,0.91846746,0.3995319,-0.2520169
0.026940826,0.47406605,-0.025982039,0.63328487,-1.594733,-0.71676004,-3.2855701,0.7152198
0.13443658,-0.32928,0.18311223,-1.5534445,-2.0104985,0.13481767,-0.2491004,-0.33442312
0.09094781,0.48737207,0.28370896,-1.4941883,-1.115071,0.19112575,0.37519252,0.5355654
-0.6146901,2.230848,0.29010543,-0.38754064,-0.5385484,0.5165723,-0.28367823,-0.03856666
-0.45238176,-2.0726852,-0.47189432,-0.022033336,-0.05596315,-1.3853809,1.294676,0.61514044
-0.14301348,0.10519895,-0.00013831133,-1.2026212,-0.11381656,-0.9161503,0.98702717,1.3703169
-0.51047736,0.35869175,-0.14266898,0.35989118,0.13664818,-1.3713261,0.2834392,1.3111367
-0.55794513,0.64786774,-1.7750081,-0.67316973,0.5432134,-0.40198222,-2.482545,1.9659605
-0.20134607,0.31240943,0.060641833,1.4901065,-0.3773133,2.7034638,-0.37744647,1.3301178
-0.27803287,-0.37388197,0.06379738,-0.23459736,-2.830845,-0.55997986,0.7283918,0.5916139
-0.3319476,0.353164,-0.7684099,-1.4492038,-0.3868158,0.047027558,0.22014724,0.09323208
-0.11673561,-0.88553953,0.29394913,0.44372407,-1.3874589,-0.94539034,0.7356387,0.63390297
0.13430029,-1.582419,-1.485607,0.022940043,-0.6571034,-0.5119124,-0.12251651,0.1053864
-0.23957314,0.26519442,-0.10299754,-0.8718813,-0.063893,0.7018548,-1.4805254,3.4046612
-0.51012415,-0.6590274,0.47663364,0.40462208,-1.2392507,0.17583297,0.55698824,0.24639906
-0.7042305,-0.71668744,-0.099800155,-1.313295,-0.9155168,-0.16272412,1.5320352,1.0022789
0.17677255,-0.57189685,0.0031145662,-0.44431573,-1.7687354,-0.7439783,-0.2471743,1.3935224
-0.19510499,0.1738361,-0.1661597,-1.6999025,-0.31478292,0.01674933,0.033396207,2.8398867
0.054621447,0.30884448,0.60579336,-1.2388195,-0.21573322,-0.8658596,-1.4270518,0.9660107
-0.37416938,-3.623539,0.107580595,-0.91469544,-1.0983729,0.33330125,-3.297144,1.3112391
-7.630652,-0.24940349,0.28848326,-1.6866443,-4.5066543,0.34833962,0.082768224,2.465705
-0.23497258,-0.1133743,-0.601422,-0.72930366,-0.013301793,0.37629047,1.7606144,3.3307416
-0.22826491,0.28843188,0.4678244,-1.0378387,-0.2686911,-0.97858846,0.6791086,2.7888277
-0.70090884,-0.70316964,0.19779374,-0.8011914,-0.006669679,0.4165459,-0.7509827,-0.057609227
-0.3705053,-0.30726457,0.024641614,-0.03688985,-3.6451812,0.8640616,-3.3430462,0.74003386
-0.34775928,0.05833835,0.21614815,-0.49167284,-0.48422623,-0.032897603,0.06278309,1.8497039
0.13626781,0.15814534,0.22752725,-1.5417529,0.1752746,-0.50300753,0.28404707,2.0164766
-8.012266,-0.25492787,0.33218795,-0.99681395,-0.3172691,-0.56139714,0.61626744,1.0398552
0.07498352,-0.3097957,0.17073508,-0.42790535,-0.40687776,0.90176934,-0.5659324,0.33302635
-0.3267302,0.38778013,0.6637723,-0.52568036,-0.9173183,1.1862279,-2.686583,0.3545312
0.64191014,-0.634008,0.11535165,0.94021904,-0.90946865,-0.3840564,-0.07436027,0.292718
-0.11409617,0.08857466,-2.3614933,-1.6799772,-0.24294811,-1.3601587,0.15367584,1.0153178
-1.1763835,-0.36955717,-0.11464557,-1.1016232,0.24806733,1.7583212,0.21755175,0.32441005
-0.39581457,-0.17511751,-0.096495196,-1.1904746,-1.4983864,-1.5709792,0.5261602,0.75274825
-0.40586346,-0.19406828,-0.18033235,-1.3773348,-0.37362498,-0.8472559,1.8056561,0.70082176
0.1997905,-0.10612299,0.35489747,0.27284896,-0.65040475,0.63678193,1.7012702,0.6274109
-0.03198727,1.3431178,-0.68578684,-0.71063846,-0.7457422,1.9709978,1.4020021,0.06611281
-0.48257548,-0.45770493,0.37801254,1.1298387,-0.13703749,1.5732093,0.21038689,1.1304406
-0.36561874,-0.035491794,0.06349002,-1.8754742,-1.8347322,-1.3785574,1.8675342,-0.38377464
0.25044766,-2.136454,0.038967934,0.36064762,0.1583955,-0.8428043,-0.0027730567,0.4900763
0.24956784,-0.31462583,0.16985229,0.50468606,-0.6269242,-0.65314025,1.5647929,1.1685224
-0.069446795,0.21413752,-2.383602,-0.063941665,-1.6397644,0.12789358,0.97964716,1.4708368
0.28157794,0.38845184,0.51947767,-0.26722944,-0.36307746,-0.23226057,0.44581667,1.0710009
-1.1079752,-0.13931778,-0.04844226,1.5802393,-1.6639825,-0.20542817,-0.52616704,0.192403
-0.45153013,-0.8241054,0.2404585,0.6421103,0.099317774,0.31468046,0.60741895,0.48785648
-0.48896682,-0.97677803,0.13759501,-1.1676805,-0.26596925,0.90557885,1.54936,2.7226908
0.11398475,0.13222055,0.2218377,-0.576386,-0.1192568,-0.42975378,0.8915172,1.314948
-0.45044678,-0.42362666,-0.14446618,0.12535274,-1.3688962,-1.1440241,0.010614113,0.75278586
0.11385669,-0.45856094,-0.06763765,-0.7216709,-1.0409482,-1.5138158,-0.079363376,1.0126677
-1.395775,-0.35329184,0.21229166,-1.7072825,-4.166922,0.51194996,1.0652534,0.95876044
0.19541256,-0.28389254,0.10047635,-0.20242973,-4.583731,0.114946954,0.4194453,0.71303755
-0.29203582,-0.20443438,-3.6091852,0.27072734,-1.6904359,-0.5779006,0.55870605,1.1184025
0.46271712,-0.4069597,-1.3768601,-0.46080893,0.14558035,0.28831252,-0.13856404,0.747974
-1.2829481,0.42319208,-0.11763463,0.021318726,-0.8136872,-0.96990216,-3.1347697,0.24637516
-0.13883981,-1.0726172,0.11349725,-1.4465708,-0.49568045,0.7604476,0.19934589,0.8400449
0.1374678,-0.45985314,0.41882548,-1.5424931,0.28304642,0.9015115,0.48389155,-0.034413908
-0.70574975,-0.5249589,0.16987704,-0.41888097,-0.14829364,-0.056673493,-0.77326614,1.4108745
0.15921554,0.07435087,0.088483386,-0.9419488,-0.51491255,-0.44004345,0.4513901,-0.23572005
0.12583257,0.08337393,-1.094799,0.40138203,-0.14829706,-0.970575,2.1364796,1.3545254
-0.4040776,-0.011917826,0.023359247,-1.7479784,0.063857146,-0.113838755,0.02119749,1.3315932
0.27199692,-0.116697885,-0.13715702,3.1841247,-3.4428678,0.3900516,-3.2161343,0.51075125
-0.012393698,-0.24385226,0.31531054,-1.5162729,0.41816807,-0.35961115,0.8117509,1.09463
0.1214288,-0.08214241,-4.592542,0.104284175,-1.3143998,-0.8192589,1.5313727,0.44215226
-0.2693425,0.78655726,-0.0051943585,0.047790833,-2.1186016,0.9914907,-2.0698988,1.2761968
0.32642326,-0.9963811,-4.308326,0.7238788,0.27705124,-0.78274477,0.03357038,0.94449556
-0.19019365,-1.1579629,0.39603654,-0.64334315,0.35810167,0.40237668,-2.3451316,2.9920666
-0.034693945,1.137516,-0.05229705,-1.6664448,-0.048849512,0.12109754,-0.41484517,0.116581075
0.23563895,-0.40635014,-3.4081848,-0.5724552,0.058720842,0.84428304,1.3889394,0.6535808
0.10985719,-0.903441,-1.5519384,-0.6538369,-0.030869039,-0.4558195,-3.3538413,1.6717604
0.28762907,0.03722752,0.3189169,1.3662708,-0.82385224,-0.55228055,-0.85717845,-0.33976433
0.1517574,-0.8197849,0.60408664,1.1839261,-0.55999523,1.3607836,-0.012738302,1.662502
0.36369753,-0.060755383,0.50488925,0.5150039,0.45429292,0.30393657,0.09575583,0.9964084
0.916619,0.054432124,-0.00014941038,-1.2648485,0.44951862,-1.4070257,0.29199398,1.2905949
0.46617043,0.30006555,0.044146925,-0.91638935,-0.04538319,-0.7285387,-3.263898,-0.15272985
-0.61679643,0.18946157,0.57536143,-0.7543756,-0.11621737,-0.7379319,1.5211513,1.3233354
0.49272212,-0.21401009,-0.105869636,0.09747704,-0.4817776,-1.0328935,1.8599458,3.1491644
-0.32598165,-0.61717546,0.06894649,-0.83297735,-0.110135086,-1.1516039,-2.807761,1.3444237
0.080532625,-0.25316778,-0.15844843,-0.5028419,-0.27161783,-1.7616235,0.14053114,0.5726977
-0.45612386,0.03431754,0.27036107,0.2456947,0.013066151,0.58116025,-0.13724923,0.8736187
-0.5692198,-0.5149864,0.04101187,0.17524216,-0.5793417,-0.76355195,0.30739605,-0.13301452
0.023711855,0.017662015,-0.08082504,0.8508349,0.10930863,-0.54362327,-1.0102224,2.626269
-0.68381494,0.39762682,0.4031536,-1.0335083,-3.1795673,0.3521782,1.349157,1.0174795
0.12239229,0.3216925,0.1514287,-0.060683668,-1.7936144,-0.41070607,0.29216132,0.51612663
-0.49015185,-0.8476597,0.3751652,-0.20974144,-1.4570825,-1.2614573,-0.20977558,0.2371544
-1.0099192,-0.7198396,0.39281014,0.39373305,-0.84393984,0.85935384,1.3038181,0.24267319
0.76443046,-0.59499997,0.37341496,0.4058686,-0.008824604,0.9581628,2.3191223,-1.0863893
-0.5893409,-0.44045243,-0.63558495,-0.44384104,-0.52685684,0.35920647,0.16472366,0.1828544
0.20132409,-1.1613584,0.19133066,-0.96588516,-3.6450465,-0.13879114,-0.3750081,1.2789118
0.20656626,-0.48213106,-0.826487,-0.7623396,0.14623092,-1.5013728,1.4924611,0.09485083
-0.044723436,-0.8223842,0.47657302,-0.39145434,-2.9858308,-0.29232696,1.2581891,1.0228822
0.25113067,-0.035186272,-4.5047975,-0.51441395,-0.43285298,1.2345703,0.68459326,0.51645446
0.009366323,-1.196673,-0.07371737,-0.90993226,0.24392824,0.9975952,0.22681008,0.8150328
-0.30581614,-0.27385172,0.20782557,0.10660473,-1.2713457,0.79826295,1.9731528,1.5065587
0.65461576,-0.87042135,-0.103255376,0.16178839,0.82029545,-0.05456638,0.8885222,0.08828702
-0.08521386,-0.6093791,0.3633558,-0.3305743,-0.60664713,-1.1041974,0.7813599,-0.2976767
0.09411957,-0.38763455,-0.50389886,0.6179033,-0.24409045,0.90797627,0.2518803,-0.05570702
0.37760356,0.004658829,0.04230619,-1.1899914,-0.4966452,-0.9131928,-0.8074786,-1.4631972
-0.46114787,-0.615111,1.2742127,-0.7616958,-0.16237749,-0.31851903,-2.0243382,1.2083526
-0.19843023,-0.25421792,0.09329184,-1.5467236,0.22302274,1.6154677,0.53528875,0.6727224
-0.5578932,0.10775458,0.6386619,-0.73237896,-1.1673527,-1.253881,-2.5723515,3.0939388
-6.796135,-0.6619486,0.98527265,-0.7903382,-0.45173332,0.69405645,-0.2613913,2.5746908
-0.70575255,-0.022732576,0.17822012,-1.0600675,-0.84266603,-0.615552,-0.10253138,0.068660475
-0.13972262,0.42440778,0.26567897,-0.54698884,-0.14743304,-1.1602254,1.6611224,-0.4084931
0.009093969,-0.5209846,0.20356695,0.5933257,-0.70499504,-0.973751,-3.35783,1.2382824
-0.4662654,-0.02008161,-0.4273188,-0.22007552,0.12087385,-1.3091918,-0.3266128,2.9478753
-0.3460767,0.1654389,1.0313593,-1.7032561,-1.4548746,-0.16747965,1.2875247,3.1072953
-0.69849247,0.27598637,-0.1631476,-1.6411868,-1.0746602,-0.42755786,-3.1679373,0.9768331
-0.8039429,-0.8026898,0.3274034,-0.12038037,-0.113770455,-0.61953396,-3.3582673,0.5290767
0.12922077,0.6326361,-2.006566,0.43131104,0.042372786,0.2646664,2.1706204,-0.28056365
-0.428033,-0.0044063255,-0.065499805,-0.3744967,0.31578866,0.61898583,0.61230254,1.0915632
0.46856377,-0.17243409,-0.9736451,-1.0382109,-0.45764828,-0.46488142,0.14611481,2.039088
0.61391497,-0.9856163,-0.04984501,-1.2092952,-4.203623,-0.9984609,-0.6732756,2.7286263
-0.110374145,-0.6675938,0.24773094,-0.5831035,-1.4253819,0.71138465,0.84647554,3.2745667
-0.032297403,-0.24059276,0.49693722,-1.5006932,0.68052584,-0.52430236,1.6646467,0.6027437
-0.18809998,-0.8918297,-0.76545244,-1.6850827,-0.05368187,-0.62323934,-0.70564044,3.1053932
-1.4580637,-0.2546004,-4.7496467,0.7092622,-0.37070507,0.7224598,0.61553663,1.1384456
-0.2707444,-1.0055544,-3.7614207,-0.299199,-3.8616965,-0.4968672,0.08059964,0.88189006
0.6089335,0.3705918,-0.19623473,-1.3820152,-3.1663816,-0.8058974,1.4883152,2.2541091
-1.1725172,1.2494801,0.15069105,-0.8882985,-0.020091001,-1.0440917,-0.28850034,-0.041968096
-0.2905656,0.11005825,0.4316773,0.7597509,0.031741593,-0.20859568,0.16827536,-0.072738096
-0.46262193,-0.4777525,0.33739936,0.79272026,-0.3646672,-0.7878862,-0.39551917,1.6718936
-0.067215994,1.7169877,0.27221206,0.07678583,-1.4123703,-0.83803856,-0.11856525,2.0911305
-1.4018245,-0.11365047,-0.015304745,-0.597049,-0.45363724,0.5959835,0.57853067,0.004087868
-0.37588835,0.016355107,0.018485053,0.9076143,-1.3890247,-0.48523027,-1.7505876,-0.5609839
0.57215875,0.15686949,-0.20370184,-0.65703,-0.6590518,0.17643572,-0.9010829,2.9881086
-0.24119094,-2.8789258,0.10873063,-1.4799969,-0.55668086,0.6649496,-0.1394144,-1.0507152
-0.8473408,-1.2464613,0.54437286,-1.4498425,-0.6675485,0.24186723,-0.5514353,0.36713973
-0.31782192,-0.89577925,0.024761142,2.1217725,-0.60859716,-0.8506266,1.1972058,1.5819366
-0.4407336,-0.45156214,0.04298067,-1.2225525,-0.86330855,0.0438925,-3.1945748,0.2888999
0.21903306,-0.23927805,0.51961684,-1.5331895,-0.66511863,-0.21292089,2.2153103,0.7734335
-0.087279886,0.26602674,-0.5082548,-1.324056,-0.21171536,-1.0349494,0.6550356,0.5158056
0.058135152,-0.3584402,0.17579795,-0.7329578,-0.6822778,-0.39567626,-0.21004197,0.9925357
-0.7170787,0.23450269,-0.60764265,-0.99777704,-1.3035296,0.50226647,0.45742798,2.9414277
-0.13938835,0.47758356,0.07581253,-2.1716483,-0.57866555,-0.8917853,1.0338413,2.3226466
0.4741465,-0.6112942,-0.65966475,-1.3387785,-1.9676459,-1.16167,-1.2065631,0.69245136
0.15257831,0.086949155,0.12981969,-1.7997035,0.2932439,2.6155643,0.927765,-0.23232204
-0.13144548,-0.59746224,-0.04286968,-0.36648062,-0.045950096,-0.545382,-0.16712448,-0.13635106
-0.058686264,0.14166152,0.41078806,-0.11138587,-1.7018901,-1.3582343,1.9832443,-0.39119223
-1.2687067,-0.141723,-0.29967794,0.78472465,0.13589856,0.8107998,0.35655636,1.2032846
-0.25727955,0.21567687,0.20074864,-1.1610519,0.29122218,-0.59118015,0.6870145,0.7540836
-0.22053783,0.13756812,0.10411086,0.12691686,-0.25234646,0.49605784,1.2106373,2.54319
-0.6624899,-1.0200332,0.47405353,-2.0360298,-1.1234056,0.8517809,-0.0020524717,0.149325
-0.4101157,-0.50158376,-0.8283482,-0.97818804,-1.6150784,-0.76663405,-3.3490226,-0.097941495
-0.09491017,-0.53377074,-0.103179395,-1.703169,0.772607,-0.7143831,0.120255716,0.92904913
-0.34283385,-3.1173608,0.16461267,-1.776141,-0.28208166,-0.4212314,0.3965642,1.062774
-1.2670512,0.9303539,0.3912093,-1.8127782,-1.5123985,0.081726626,-1.6548387,0.71930087
-0.3976379,-0.38186818,0.46284348,-0.9392517,-0.86845,-0.13632032,0.38588175,-0.109931886
-0.42259616,-0.049942527,-4.2710056,0.31773952,-1.5065603,0.41037825,-0.48996016,0.43834102
-0.1313552,-0.42212847,-0.21000952,0.10882369,-1.8053043,0.24815613,0.40371537,0.4211187
-0.16990948,-0.032642327,0.36305955,-0.48407257,0.33397403,0.93306524,1.5510846,0.48945817
-0.589028,-0.39317256,-1.3234105,1.1504061,-0.7539572,0.27382228,0.00066935853,-0.1135997
-0.01802871,-0.5479035,0.10986956,-0.42337266,0.35630703,0.51196706,1.3744594,0.97496164
0.24528958,-0.00537173,0.21597569,-0.9275772,0.03696669,-0.2183953,1.2821938,0.21992867
-0.022849437,-0.5232548,0.4256932,-1.265079,-0.52038693,-0.08874464,1.9858603,0.45945996
-0.43012345,-1.4147251,0.52020854,-0.11263664,-0.30472717,-0.29234233,0.59445184,0.433536
-0.83799076,-0.65585446,-0.8066154,-0.9021467,0.24791536,0.103383444,-0.6572349,0.033802606
-0.18370679,0.78798276,0.45807686,-0.6083427,-0.22322252,2.239238,1.899636,3.3254278
0.5548807,-0.57319283,0.027831312,-0.87306374,-0.18464562,-0.34617788,0.7547598,-0.19270353
0.16605192,-1.1108406,-0.6248513,-0.5241572,-0.8632624,-0.4522012,-3.3567271,0.645347
0.106109545,-0.50657886,0.56191367,0.71548706,0.96340495,-0.47597536,-1.0130537,0.62574774
0.08073102,0.13291718,-1.4278347,-0.5410756,0.015396953,-0.7719189,-1.0432498,-0.04378834
0.28519624,-0.4369916,-0.54174584,-0.5229406,-2.2349744,-1.7747375,-1.2151793,1.067784
-0.20642367,-0.3391099,-0.23250987,-0.9290559,0.3856649,0.80568737,-1.8752693,0.14791799
-0.5609079,-3.8308928,-0.038530804,-0.9851847,-0.73604673,1.756062,-0.16420116,3.5764472
0.4812918,-0.10947821,0.056744356,0.58039445,-1.0345004,-0.12718494,0.7251167,0.90183765
0.3972156,-0.794403,0.15199988,-0.3139018,-1.7701869,-0.6446196,0.043839566,-0.570232
0.07084784,-0.9252618,-0.083432466,-1.083968,-0.5857553,-0.065392226,-0.164167,1.6468064
0.23349427,-1.0981616,0.2062034,-0.6386576,-0.634948,-1.4538416,-0.15235078,0.63536125
-1.0176085,0.12150385,-4.5713263,-0.75810486,-1.4524226,-0.75977653,0.25602964,0.44909173
-0.27168593,-0.29548165,0.39445195,-2.271405,-0.84220153,-0.088450946,-0.11850719,1.2275796
-1.0155816,-0.32380986,0.10917801,-1.5089893,0.4486734,-0.5996701,0.48378912,-0.6555137
-0.13836,0.56292963,0.22661456,-1.0467554,0.054547597,-0.3022922,-0.059719756,-0.41148472
-0.43130678,-0.2491369,-0.57235616,-2.0751932,0.08379447,-0.8699953,0.050888322,1.4816797
