,lr_history,train_total_loss_hist,train_trans_loss_hist,train_rot_loss_hist,train_hitch_loss_hist,train_acc_yaw_loss_hist,train_epoch_loss_history,rmse_train_history,val_total_loss_hist,val_trans_loss_hist,val_rot_loss_hist,val_hitch_loss_hist,val_acc_yaw_loss_hist,val_epoch_loss_history,rmse_val_history
0,1.404494382022472e-08,2.2760458,2.271409,0.00024340495,0.0031763301,0.00024340495,0.0169059,[0.8334701  0.05512567 1.0331465  8.768169   1.0331465 ],0.019442296,0.0026682713,2.88201e-05,0.016601104,2.88201e-05,0.0045352723,[0.06510298 0.02925824 0.38748717 6.6057196  0.38748717]
1,2.808988764044944e-08,1.6263745,1.6180015,0.0005594971,0.0050161444,0.0005594971,0.0018203327,[0.07788929 0.03038359 0.6128204  3.2147577  0.6128204 ],0.0063881325,0.0018216372,4.231631e-05,0.0043125977,4.231631e-05,0.0043484415,[0.08980514 0.02510699 0.44198668 5.148668   0.44198668]
2,4.213483146067416e-08,2.5998049,2.5889769,0.0010768261,0.004366888,0.0010768261,0.0016412195,[0.06046106 0.02517469 0.51270854 1.9986778  0.5127086 ],0.031067858,0.0009947602,9.150921e-05,0.029524043,9.150921e-05,0.0041161277,[0.05587432 0.03480464 0.3902025  3.8229291  0.3902025 ]
3,5.617977528089888e-08,2.411881,2.388105,0.0017024996,0.013560991,0.0017024996,0.001277592,[0.05071063 0.02358772 0.39381287 1.5357926  0.3938129 ],0.0035224059,0.0011352843,3.50942e-05,0.0021765565,3.50942e-05,0.0020355778,[0.0645159  0.02472454 0.33754814 1.9740791  0.33754814]
4,7.02247191011236e-08,1.1115342,1.0988896,0.0010959525,0.006068795,0.0010959525,0.0008547262,[0.05178329 0.02315052 0.4023213  1.406947   0.4023213 ],0.010148886,0.0032021676,3.2176627e-05,0.0067536584,3.2176627e-05,0.0055482467,[0.082838   0.02346049 0.36099753 2.3372674  0.36099753]
5,8.426966292134831e-08,2.5440857,2.5252771,0.0009963901,0.012830254,0.0009963901,0.0021126033,[0.05108353 0.02226134 0.36790457 1.4535311  0.36790454],0.034095015,0.0062263496,8.0758895e-05,0.02738411,8.0758895e-05,0.008965502,[0.13470083 0.03007767 0.40454373 1.729629   0.40454373]
6,9.831460674157305e-08,1.2917639,1.2731534,0.00088336377,0.01331027,0.00088336377,0.0063534216,[0.03934356 0.02088932 0.33912182 1.102297   0.33912182],0.0066030426,0.0018063145,3.1790827e-05,0.0046059834,3.1790827e-05,0.0047527743,[0.11064312 0.02566858 0.39257398 1.6845897  0.39257398]
7,1.1235955056179776e-07,0.78214806,0.38806257,0.002949628,0.37638775,0.002949628,0.0007450256,[0.03698334 0.02101863 0.31946844 1.025877   0.31946844],0.007207239,0.0038008562,7.1339695e-05,0.0029783444,7.1339695e-05,0.0036699246,[0.0840019  0.02756291 0.35176808 1.5038888  0.35176808]
8,1.2640449438202246e-07,1.8355949,1.7889969,0.0021981644,0.033408925,0.0021981644,0.0030663002,[0.03901581 0.02095937 0.30804184 0.9452579  0.30804184],0.008014848,0.0007552041,1.9968147e-05,0.007139836,1.9968147e-05,0.004249598,[0.06245448 0.02441913 0.36211404 1.6760274  0.36211404]
9,1.404494382022472e-07,2.8307302,2.820582,0.0011217406,0.0034177415,0.0011217406,0.003413681,[0.03524246 0.01990258 0.28768164 1.3942646  0.28768164],0.010269197,0.001907697,3.7009297e-05,0.0081394445,3.7009297e-05,0.003242931,[0.05331406 0.02254906 0.33443022 1.547796   0.33443022]
10,1.544943820224719e-07,1.6779636,1.5816215,0.00026417122,0.09475704,0.00026417122,0.00050268235,[0.03322024 0.01969451 0.28509295 0.8587792  0.28509295],0.010746968,0.0022412054,7.5265154e-05,0.008054172,7.5265154e-05,0.0020428002,[0.10716161 0.01948497 0.38660493 1.3303035  0.38660493]
11,1.6853932584269663e-07,1.5115175,1.2887479,0.002717847,0.2064625,0.002717847,0.000854556,[0.0323     0.02031216 0.28434604 0.7896215  0.28434604],0.032269962,0.004109295,1.897368e-05,0.028046824,1.897368e-05,0.0031323298,[0.0697599  0.02010818 0.29450652 1.0630887  0.29450652]
12,1.8258426966292135e-07,4.0903606,4.081284,0.0011264198,0.0023182188,0.0011264198,0.0041946387,[0.03251758 0.01942742 0.2722015  0.9921845  0.27220148],0.007335482,0.0041428045,2.0415111e-05,0.0030701866,2.0415111e-05,0.0046466333,[0.07591604 0.02544013 0.3046835  1.2320939  0.3046835 ]
13,1.966292134831461e-07,1.6479591,1.625119,0.0023234163,0.008899701,0.0023234163,0.004114396,[0.02891383 0.01867635 0.25759193 0.7070425  0.25759196],0.007316703,0.0024269284,7.901094e-05,0.004415709,7.901094e-05,0.0054733464,[0.08129568 0.01973872 0.2701129  1.3911577  0.2701129 ]
14,2.106741573033708e-07,2.8094099,2.6941125,0.0012255459,0.107944086,0.0012255459,0.00022183952,[0.0247932  0.01844665 0.25672874 0.955246   0.25672877],0.04429698,0.0065705534,5.150051e-05,0.037417423,5.150051e-05,0.0026427777,[0.06836339 0.02657159 0.30758557 1.1150556  0.30758557]
15,2.247191011235955e-07,4.2303867,4.22488,0.00026547554,0.003913426,0.00026547554,0.0008912035,[0.02337009 0.01624057 0.234557   0.6416944  0.234557  ],0.0065475106,0.0042407787,6.933538e-05,0.0018907194,6.933538e-05,0.002815839,[0.07786526 0.02865692 0.53379595 0.9670153  0.53379595]
16,2.3876404494382023e-07,3.091035,2.9972546,0.00011206616,0.09310796,0.00011206616,0.0009894958,[0.02311827 0.01627475 0.24696365 0.5771819  0.24696365],0.014816694,0.0032887133,1.1451756e-05,0.0114592705,1.1451756e-05,0.008943977,[0.08663274 0.02483891 0.3420632  0.9784344  0.3420632 ]
17,2.5280898876404493e-07,1.4807917,1.4084563,0.0027302988,0.055953614,0.0027302988,0.0012398373,[0.02284563 0.01529737 0.23188859 0.5886694  0.23188859],0.00850679,0.0048228484,4.8305832e-05,0.0033941062,4.8305832e-05,0.010566478,[0.08520529 0.01929477 0.31907853 1.7294958  0.31907856]
