,raw_loss_history,loss_history,rmse_train_history,rmse_val_history,std_train_history,std_val_history
0,197.5223846435547,53.956298828125,9.805823,7.426436,7.426436,7.4096193
1,152.7528076171875,20.748334884643555,8.661776,7.610297,7.610297,6.242233
2,125.54669189453125,5.480082035064697,5.067373,4.869222,4.869222,4.8049912
3,352.02325439453125,1.631562352180481,3.9221022,3.4389596,3.4389596,2.519761
4,145.53668212890625,1.6887255907058716,2.2222197,2.5753267,2.5753267,2.4633002
5,148.23049926757812,,,,,
6,127.66264343261719,,,,,
7,126.82636260986328,,,,,
8,32.93777084350586,,,,,
9,58.92779541015625,,,,,
10,16.746511459350586,,,,,
11,93.67787170410156,,,,,
12,124.83211517333984,,,,,
13,18.860492706298828,,,,,
14,55.78205871582031,,,,,
15,45.75714111328125,,,,,
16,185.33949279785156,,,,,
17,18.342641830444336,,,,,
18,28.59371566772461,,,,,
19,24.056472778320312,,,,,
20,20.05939483642578,,,,,
21,55.3497314453125,,,,,
22,206.99620056152344,,,,,
23,65.73502349853516,,,,,
24,24.837270736694336,,,,,
25,28.419342041015625,,,,,
26,33.312007904052734,,,,,
27,11.344855308532715,,,,,
28,18.94707489013672,,,,,
29,66.08908081054688,,,,,
30,38.20451736450195,,,,,
31,82.960693359375,,,,,
32,47.61817932128906,,,,,
33,4.145795822143555,,,,,
34,18.919309616088867,,,,,
35,25.878673553466797,,,,,
36,22.334962844848633,,,,,
37,43.829345703125,,,,,
38,53.619754791259766,,,,,
39,11.247858047485352,,,,,
40,15.388274192810059,,,,,
41,7.597167015075684,,,,,
42,35.45937728881836,,,,,
43,21.7105712890625,,,,,
44,27.69487762451172,,,,,
45,30.800241470336914,,,,,
46,45.28477478027344,,,,,
47,4.4956440925598145,,,,,
48,68.68378448486328,,,,,
49,71.63671875,,,,,
50,27.927209854125977,,,,,
51,84.0147705078125,,,,,
52,8.701789855957031,,,,,
53,2.503293037414551,,,,,
54,7.868470668792725,,,,,
55,151.83380126953125,,,,,
56,152.54364013671875,,,,,
57,14.420493125915527,,,,,
58,64.11254119873047,,,,,
59,28.178571701049805,,,,,
60,5.820130825042725,,,,,
61,30.16377067565918,,,,,
62,22.705116271972656,,,,,
63,14.894782066345215,,,,,
64,3.586310625076294,,,,,
65,26.50826072692871,,,,,
66,53.956298828125,,,,,
67,6.09108829498291,,,,,
68,17.68956184387207,,,,,
69,112.73590850830078,,,,,
70,5.442807197570801,,,,,
71,2.6311254501342773,,,,,
72,14.530308723449707,,,,,
73,2.303365707397461,,,,,
74,12.844233512878418,,,,,
75,22.04972267150879,,,,,
76,4.88039493560791,,,,,
77,38.84845733642578,,,,,
78,3.407135486602783,,,,,
79,24.9920711517334,,,,,
80,17.159622192382812,,,,,
81,8.409337997436523,,,,,
82,36.77587127685547,,,,,
83,11.04409408569336,,,,,
84,4.543679714202881,,,,,
85,15.51579475402832,,,,,
86,5.0436296463012695,,,,,
87,3.682131767272949,,,,,
88,2.3684980869293213,,,,,
89,4.185090065002441,,,,,
90,15.404383659362793,,,,,
91,29.419591903686523,,,,,
92,8.783186912536621,,,,,
93,9.049240112304688,,,,,
94,3.340824604034424,,,,,
95,33.248958587646484,,,,,
96,24.471641540527344,,,,,
97,15.753276824951172,,,,,
98,4.084620475769043,,,,,
99,45.87882614135742,,,,,
100,2.1104347705841064,,,,,
101,1.7029292583465576,,,,,
102,35.45531463623047,,,,,
103,2.923973560333252,,,,,
104,17.98160743713379,,,,,
105,8.514601707458496,,,,,
106,13.855470657348633,,,,,
107,21.05110740661621,,,,,
108,6.535765647888184,,,,,
109,11.800408363342285,,,,,
110,4.972777843475342,,,,,
111,42.05207061767578,,,,,
112,12.917222023010254,,,,,
113,21.323043823242188,,,,,
114,53.0218620300293,,,,,
115,16.676651000976562,,,,,
116,4.023806095123291,,,,,
117,27.626258850097656,,,,,
118,26.379188537597656,,,,,
119,31.757875442504883,,,,,
120,5.59346342086792,,,,,
121,6.681084632873535,,,,,
122,5.5589094161987305,,,,,
123,5.463018894195557,,,,,
124,31.681177139282227,,,,,
125,5.910105228424072,,,,,
126,4.008274555206299,,,,,
127,10.413453102111816,,,,,
128,30.888463973999023,,,,,
129,29.38467788696289,,,,,
130,12.816641807556152,,,,,
131,13.07013988494873,,,,,
132,10.733358383178711,,,,,
133,20.748334884643555,,,,,
134,8.50228214263916,,,,,
135,17.311674118041992,,,,,
136,10.914928436279297,,,,,
137,30.845006942749023,,,,,
138,62.45721435546875,,,,,
139,4.272125244140625,,,,,
140,16.61623764038086,,,,,
141,30.390470504760742,,,,,
142,4.875936031341553,,,,,
143,5.19536828994751,,,,,
144,15.74703311920166,,,,,
145,13.026935577392578,,,,,
146,6.213329792022705,,,,,
147,1.2910059690475464,,,,,
148,3.7770912647247314,,,,,
149,4.470790863037109,,,,,
150,1.896111011505127,,,,,
151,2.4910123348236084,,,,,
152,0.6837243437767029,,,,,
