,loss_history,rmse_train_history,rmse_val_history,std_train_history,std_val_history
0,0.4352470934391022,3.0353918,2.7569509,2.7569509,2.5724027
1,1.0613707304000854,1.9645736,1.9359874,1.9359874,1.7711844
2,0.04469674453139305,2.018762,1.9286157,1.9286157,1.9058515
3,3.6950879096984863,3.5068135,3.8552792,3.8552792,3.7737596
4,0.08732342720031738,1.5578364,1.6179029,1.6179029,1.6021874
5,0.028466470539569855,1.2481402,1.2509366,1.2509366,1.2506595
6,0.08669938892126083,1.1019262,1.1404887,1.1404887,1.1314266
7,0.07292497903108597,1.1823889,1.1447324,1.1447324,1.1438766
8,0.06684067100286484,0.9680011,1.0471392,1.0471392,1.0393804
9,0.9332576990127563,0.97627133,1.0701892,1.0701892,1.0690036
