,loss_history,rmse_train_history,rmse_val_history,std_train_history,std_val_history
0,8.368103981018066,2.3958483,2.3272629,2.3272629,2.2517927
1,1.6060254573822021,1.3370259,1.386257,1.386257,1.2817549
2,0.16376054286956787,2.340862,2.2753234,2.2753234,1.886635
3,1.0198619365692139,2.0587337,1.9846367,1.9846367,1.6695929
4,0.3010394275188446,1.1261157,1.1094174,1.1094174,1.043087
5,0.6820300221443176,0.6621431,0.6799943,0.6799943,0.6799344
6,0.010708366520702839,0.5792923,0.63379925,0.63379925,0.62161225
7,0.3531181514263153,0.64306736,0.69120675,0.69120675,0.68501765
8,0.43459388613700867,0.52233845,0.5990819,0.5990819,0.5617759
9,0.29954198002815247,0.49028093,0.5455918,0.5455918,0.5437955
