,loss_history,rmse_train_history,rmse_val_history,std_train_history,std_val_history
0,0.05076836422085762,2.5975363,2.555614,2.555614,2.54574
1,6.865765571594238,3.3874195,3.3513474,3.3513474,3.301209
2,5.764611721038818,4.3491554,4.5565243,4.5565243,4.1529555
3,2.850755214691162,2.5284543,2.5959723,2.5959723,2.5957916
4,6.2551655769348145,3.3382158,3.4225495,3.4225495,2.9587688
5,1.8991605043411255,1.6377612,1.6686356,1.6686356,1.6620657
6,0.3829941749572754,1.3831552,1.474618,1.474618,1.4633262
7,8.155562400817871,1.2352477,1.3050816,1.3050816,1.300507
8,0.023138608783483505,1.324198,1.3203562,1.3203562,1.2969846
9,0.27063366770744324,1.327888,1.3341225,1.3341225,1.2760205
