,loss_history,rmse_train_history,rmse_val_history,std_train_history,std_val_history
0,0.342207133769989,1.8139101,1.9051414,1.9051414,1.8695812
1,5.544334411621094,2.1613228,2.2703116,2.2703116,2.0601192
2,3.4325151443481445,3.4956043,3.6366777,3.6366777,3.606202
3,2.9698727130889893,1.3987182,1.4197878,1.4197878,1.3994108
4,12.291644096374512,3.2598145,2.9467797,2.9467797,2.7285044
5,0.4749614894390106,2.0246232,2.2272856,2.2272856,2.2257748
6,0.4295360743999481,1.7346574,1.7328088,1.7328088,1.7326605
7,1.6124261617660522,1.3808948,1.4763218,1.4763218,1.4763206
8,0.4975467920303345,1.2521539,1.2639141,1.2639141,1.2625313
9,0.26771268248558044,0.9907668,1.1018097,1.1018097,1.101095
