,lr_history,train_loss_history,train_loss1_history,train_loss2_history,train_epoch_loss_history,rmse_train_history,val_loss_history,val_loss1_history,val_loss2_history,val_epoch_loss_history,rmse_val_history
4018,1.9132086113386918e-05,0.0048714033,0.0035041568,0.0013672466,,,0.00669761,0.00046737073,0.0062302393,,
4019,1.9116177486643073e-05,0.011547477,0.0033217312,0.0082257455,,,0.003889585,0.0006448219,0.003244763,,
4020,1.9100263851328342e-05,0.0028442736,0.0010188434,0.0018254303,,,0.0060511576,0.0010687269,0.004982431,,
4021,1.9084345226806457e-05,0.0114675565,0.0019254702,0.009542086,,,0.0050025545,0.00049606827,0.0045064865,,
4022,1.906842163244724e-05,0.009001479,0.0029914647,0.006010014,,,0.0062360084,0.0010899866,0.005146022,,
4023,1.905249308762653e-05,0.011645769,0.0006741189,0.01097165,,,0.011227222,0.00070002966,0.010527193,,
4024,1.9036559611726206e-05,0.0011909545,0.00037514602,0.0008158084,,,0.010833593,0.00071036833,0.010123225,,
4025,1.9020621224134153e-05,0.012079524,0.00025761005,0.0118219135,,,0.0079979645,0.0011517744,0.00684619,,
4026,1.900467794424422e-05,0.005915231,0.00031937828,0.0055958526,,,0.0051830574,0.001223011,0.0039600465,,
4027,1.898872979145621e-05,0.0048325816,0.0008157601,0.0040168217,,,0.004309626,0.00033951443,0.0039701113,,
4028,1.897277678517587e-05,0.0057780147,0.0010368398,0.0047411746,,,0.00861465,0.0009930559,0.007621594,,
4029,1.8956818944814828e-05,0.003476297,0.0009171115,0.0025591855,,,0.012465082,0.0004475084,0.012017574,,
4030,1.8940856289790615e-05,0.012607809,0.0012523583,0.011355451,,,0.002986316,0.000520448,0.0024658681,,
4031,1.8924888839526612e-05,0.0026626969,0.0008948378,0.001767859,,,0.006002816,0.0006135909,0.005389225,,
4032,1.8908916613452036e-05,0.006107606,0.00055723195,0.0055503743,,,0.0025146701,0.0004800681,0.002034602,,
4033,1.8892939631001917e-05,0.004559469,0.0006318415,0.0039276276,,,0.003631167,0.000716537,0.00291463,,
4034,1.887695791161707e-05,0.0039238515,0.003462464,0.00046138745,,,0.003734251,0.00062066794,0.0031135832,,
4035,1.8860971474744073e-05,0.019731054,0.0008136614,0.018917393,,,0.003983209,0.0010238971,0.002959312,,
4036,1.8844980339835255e-05,0.010917762,0.0005341176,0.010383645,,,0.005993709,0.00052769476,0.005466014,,
4037,1.882898452634864e-05,0.014620015,0.006370432,0.008249583,,,0.013257344,0.0015384088,0.011718935,,
4038,1.881298405374796e-05,0.0072145746,0.002136033,0.0050785416,,,0.008123407,0.0015088727,0.0066145346,,
