,number,value,datetime_start,datetime_complete,duration,params_LOSS_SCALE,params_lr,system_attrs_grid_id,system_attrs_search_space,state
0,0,20.647674560546875,2025-01-17 18:55:09.504010,2025-01-17 19:01:38.888080,0 days 00:06:29.384070,10.0,0.01,0,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
1,1,14.934212684631348,2025-01-17 19:01:38.890077,2025-01-17 19:08:47.961613,0 days 00:07:09.071536,10.0,0.001,1,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
2,2,13.814411163330078,2025-01-17 19:08:47.962613,2025-01-17 19:15:58.278691,0 days 00:07:10.316078,1000.0,0.001,2,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
3,3,6.281476974487305,2025-01-17 19:15:58.280691,2025-01-17 19:23:01.959005,0 days 00:07:03.678314,100.0,1e-05,3,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
4,4,6.345407009124756,2025-01-17 19:23:01.960005,2025-01-17 19:30:12.185558,0 days 00:07:10.225553,1000.0,1e-05,4,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
5,5,17.991748809814453,2025-01-17 19:30:12.186558,2025-01-17 19:37:21.052443,0 days 00:07:08.865885,1.0,1e-06,5,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
6,6,20.38983154296875,2025-01-17 19:37:21.053443,2025-01-17 19:44:33.792275,0 days 00:07:12.738832,100.0,1e-06,6,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
7,7,21.434537887573242,2025-01-17 19:44:33.794275,2025-01-17 19:51:39.155174,0 days 00:07:05.360899,1000.0,0.01,7,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
8,8,13.255839347839355,2025-01-17 19:51:39.157174,2025-01-17 19:58:44.642826,0 days 00:07:05.485652,100.0,0.001,8,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
9,9,8.033353805541992,2025-01-17 19:58:44.643826,2025-01-17 20:05:48.867546,0 days 00:07:04.223720,10.0,1e-05,9,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
