10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
4.2417955,-1.1071258,7.546165,2.762358,-1.086625,0.6531658,-1.1894569,3.0380645
-2.8457844,-1.0236855,5.313015,-1.7896367,-0.5585489,4.7921476,0.05427951,3.5697675
6.5485706,1.2899988,2.5128076,-2.232262,4.285571,0.22718233,0.42477286,2.3693857
6.7147503,-1.653254,1.6418868,-0.6080029,4.6544356,10.31411,1.0391245,2.795941
2.2491696,-1.3467873,1.9089456,-2.3587596,-0.6428181,0.7269524,-0.8091076,3.7383006
-6.320808,2.389463,2.3004487,-1.8650872,-1.2526071,8.021039,-1.892676,3.9749582
6.9615026,3.400168,8.083969,3.0717425,-2.1105335,8.230883,-0.06978404,7.433783
11.787304,-3.4569366,7.4267373,0.88507295,-0.44780597,1.3237606,-0.4284065,4.323175
0.88030076,-7.5752563,2.1588962,3.7748327,-0.6752342,1.5973079,-2.2720008,5.474929
4.3088284,1.5906805,3.8351595,-2.1747527,-1.7515455,1.0717522,1.6810837,2.4517646
3.920139,0.60379124,1.9892523,-0.38032115,-0.9133158,5.50845,0.38508263,1.37323
6.530889,15.190806,1.3935958,3.9045162,4.3706174,2.9383233,0.593639,2.37806
6.967599,-3.4960015,3.1178873,4.491907,-0.100521594,1.8290751,-0.6974818,3.9404469
0.76287234,0.043726016,-0.89842254,0.27038157,4.118498,0.98559624,-1.4266318,3.5600498
-6.3467593,-0.49911177,4.809988,-1.8673164,-0.9902271,1.0723909,1.5275649,2.3781865
3.9014153,-3.665764,7.6002703,7.3155284,-2.147927,0.6149458,0.7534791,3.7849798
6.169524,-7.5368786,2.3056326,0.5735045,-0.5705205,0.76606375,0.6471399,3.3061495
7.067251,-0.7608817,4.225317,-0.26271638,-0.5121651,0.9813991,-0.10816287,1.6417042
5.4804196,-4.0817976,0.71471435,-2.262507,-1.1138109,2.0239472,-1.1891735,5.597333
1.5812302,-5.2868385,0.9642109,3.9562554,0.7374401,-0.05331816,1.0414364,5.148796
-2.7736263,0.9283093,9.601033,4.569008,-2.0276372,-0.8528754,1.2937881,2.4105785
5.027855,1.677552,1.4863677,4.1770062,0.9792817,2.302875,0.60416776,4.678942
-5.386222,-4.6310396,3.0072808,-2.7397714,-0.19732928,-0.58023137,-1.3099585,2.3257613
6.413023,-2.060615,2.9062743,1.6183416,-1.3981141,0.04559151,0.55474454,6.1256514
-2.5583668,-0.9849482,0.09027973,0.60519654,-1.315339,-0.25655556,1.0582695,2.1124306
-0.526303,4.5124173,3.7495372,1.0778174,4.2439995,1.3629949,0.20670201,5.9706674
3.8966935,-2.5499728,2.799807,-1.6612958,-0.99415106,1.973607,-0.06255087,4.1008387
-2.1834977,7.761515,1.9513576,-2.433691,-0.2721762,2.4507947,-0.9568924,5.9587317
4.295558,-1.9384145,3.2402637,-1.7225591,-1.3071991,0.60407555,-1.1048104,6.4589953
3.9348452,-0.27390403,5.4729586,-0.20000415,-0.73927915,-0.78851116,-1.370993,3.4604194
-0.69859535,0.9324945,1.9611863,0.7458694,-0.3144363,10.846417,0.14681832,1.7640193
4.2819824,-3.3087592,0.7532016,4.566827,0.076660335,0.7442874,1.1919568,3.0411227
8.020217,0.29242045,3.8563426,0.12149711,-1.0281893,0.54902256,-0.32290742,2.9210055
