10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
0.29086018,-0.12419994,-1.288744,0.7899028,1.3708701,1.5699548,0.49345723,-1.1828897
-0.8010565,0.014313354,0.623656,0.5427618,0.20664565,0.10307438,-4.1443057,-0.5470913
-1.0467367,-0.62838995,-0.54543495,0.5704676,-2.6240065,-1.7313129,-1.3542694,-0.8096369
-0.82846326,-0.2490508,-0.116620354,0.23578495,-2.4442291,-0.425753,-2.7258976,0.80706877
-0.4664865,-0.17196281,0.3535912,-0.06949632,-2.9288225,0.8594734,-1.2377259,0.1284861
-0.1171292,-0.5094862,0.10086054,0.4170445,-1.3568888,1.4706763,-0.5209931,0.40402275
-0.580743,-1.0600076,0.13098936,-0.53936976,-3.0190716,-0.1060643,-0.15532532,0.08375861
0.37455133,-0.79738957,-1.0027792,-0.4785307,1.0229369,1.4241917,-0.4351411,-0.69950014
-0.5595833,-0.36028755,-1.036523,-0.384263,-2.6500075,0.14219257,-0.6078868,-0.10261676
0.043685887,1.2697014,0.18491028,-0.00946835,-1.6398976,1.468938,-0.65613526,-0.123640075
0.27183127,-0.98820496,-2.535245,0.24648955,0.550059,0.6029042,-0.03519596,-0.38302332
-0.32788834,-1.1782683,-1.0669464,0.8830717,-3.166933,0.4303497,-1.2119077,1.3409129
-1.4403944,-0.8168421,-0.8052878,0.60941845,-0.05709184,1.5676069,-3.454315,0.10803651
-0.21945557,-0.9177426,-0.09383826,-0.7553557,-0.93319505,1.1588781,1.0739379,1.4345821
0.29616466,-0.45279926,-0.10191496,1.3483135,-0.72520894,-0.32740852,-1.5088502,1.7547165
0.549773,0.101897344,-0.07854717,-0.48404866,-2.2882857,0.30092618,0.773413,-0.9271742
0.31288028,-0.9716884,-1.1223528,0.21626598,-0.23554589,0.19285038,-1.6084002,0.17362681
-1.853147,-0.97634697,-1.808663,-0.3975537,-1.6383078,-0.18553184,-4.2061157,0.29372886
-0.24338737,-1.6636641,-0.718599,-1.6419859,-0.21453793,0.14528495,0.9990415,-0.49276397
-0.11111522,-1.448076,-0.4650966,0.5630859,-1.1391082,-1.4132549,-1.213523,0.25655895
0.13495514,0.32943472,-0.035993386,1.0926031,0.60332084,1.17156,-0.40324068,-0.57036173
0.06653671,-0.30781356,-1.5889461,-0.5431477,-0.5323227,-1.4407924,-2.1726763,-0.5155461
-1.1412846,-1.2002059,0.085054636,-0.069577426,-1.9749371,0.16967897,-3.6428437,-1.1483631
0.3056484,-0.8633743,-1.0334537,0.39235166,-1.503065,0.1994825,-2.934717,-0.344484
-0.38139904,0.0077008246,-0.5000091,-1.1418061,-1.6522944,1.8360674,1.2478619,-1.1475469
-0.62471384,-0.66847914,1.2926884,-0.041351672,0.33092093,0.4106634,-1.4632791,-1.0325572
0.69324625,-0.7944662,-0.21999526,0.78150254,-0.63787645,0.20196015,-2.6822321,0.22105223
-0.042749193,-1.9518447,-1.6479094,0.684513,-0.08699782,0.48814848,-0.56250364,-0.09756583
0.36428556,-0.3769049,0.2838046,-0.9771251,-2.2147844,-0.98050773,-0.67196083,0.40108234
