10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
-1.12084,-0.32206282,-0.9132261,0.0786206,-0.3339655,1.8574255,-0.3777231,-0.11569315
-0.047108665,0.3958454,0.2411791,0.16972251,0.36297843,0.5339756,-1.9956616,1.5963756
0.17968957,0.5191413,-0.6189466,0.72322565,-1.2935182,1.5126545,-1.30125,-0.6684535
-1.1227559,0.2553332,-1.2105561,0.97582734,0.58317006,0.9486859,-0.7656266,1.2645719
0.29515317,0.9419966,-1.5487376,0.04676118,0.6422546,0.8096745,-1.959967,-0.2767285
-1.0087839,-0.1484705,-1.3902098,0.67775965,-0.15685357,1.175846,-1.1727195,-1.1067569
-0.060197014,0.24757887,-2.4660542,0.83692265,0.26795003,0.08179322,0.31420916,1.9265504
-0.30898046,0.40685296,-0.0842111,-0.14419383,-1.4982172,2.1366026,-2.0146153,1.1618766
-0.6504786,-0.7599998,0.13749255,0.4838062,-0.8184342,0.9422621,-2.2948887,0.16522568
0.032794297,-1.4997301,-1.1927849,0.81442744,-2.127843,0.13486208,-0.60910255,-0.13555875
-1.2996012,-0.19303949,-1.0153486,0.8480439,0.11385924,1.602936,-0.84473044,0.17559732
0.27705976,0.4866994,-1.061875,1.0761167,0.1635557,1.6409204,-1.5823089,-0.5482695
-0.7359464,-0.05437257,-1.4073484,0.20125835,0.15757416,1.3577015,-2.298987,1.2255476
-1.0289086,0.676405,0.1352975,0.5586232,0.06662679,0.6541596,-1.2518438,-0.5398547
-0.261788,-0.25898752,-0.54569197,0.8505583,-1.2953966,2.0970643,-0.848791,-0.1394144
-0.23104821,0.30210778,-0.35558817,0.6199643,-1.720504,1.5464914,-1.4621385,2.483139
0.43927816,-0.7524354,0.65366954,0.6405027,0.84668726,-0.14867271,-0.46557298,0.02437353
-1.0751076,-0.15465896,0.71209157,0.25958303,-2.2310402,0.31841144,-1.3299744,1.1285453
-0.38681024,0.27367115,-2.1958852,1.1028792,0.75270903,1.3182008,-1.7032067,-0.05478836
-0.60745394,0.5119895,-0.5940343,0.8556058,-2.3354652,1.470958,-1.7657131,-0.47834885
-0.53474617,1.4646844,0.0948107,1.3914905,-1.674122,0.4405045,-1.7506218,0.072779074
-1.1489851,-1.2512208,-2.5651329,0.41772836,0.37177914,1.9584286,0.19573614,-0.63100356
-0.83014154,0.76624453,0.3319557,0.7337151,-1.2359978,0.6529268,0.23538196,0.5935024
-0.40767732,0.25649217,-1.587726,0.8234587,-0.72143525,2.0458329,0.0783491,0.69954455
0.31989062,-0.42698476,-0.18626864,0.9600172,0.766897,1.5184654,-1.5060157,-0.555226
0.6097399,0.4804009,-0.21012905,1.0551267,-0.010036962,1.7026175,-0.8184479,-0.27994213
-0.4189339,0.04210051,-1.3029491,0.8579076,-0.5888374,0.5189219,-0.6575662,1.4583751
-0.23228447,0.21752006,-0.32448518,1.1309581,0.38153946,0.95574147,-1.6355399,2.2216249
0.7987671,-0.55297035,-1.0924478,0.5871256,-1.7961228,1.4442759,-1.3555568,0.23217861
-0.7792554,1.1543673,-1.2605361,0.8649008,0.9018872,0.73241824,-2.153695,1.9188118
0.05362808,-0.828856,-0.39646515,1.1714815,-1.4988234,1.2007267,-1.3908929,-0.6835414
-1.342121,0.2831937,-1.4854559,0.5202674,0.18145593,1.2738814,-1.9500018,-0.73836046
-0.7759718,0.1632842,-1.761364,0.28086078,-2.6937563,-0.1159083,-3.3004258,-0.08568472
0.79889184,0.9422589,0.14073433,0.5047791,-2.1201828,-0.5685483,-2.2797327,0.09137085
0.776817,0.44260892,-1.3869296,0.47133255,0.76301575,-0.7344724,0.27027398,0.02332851
-0.49170017,0.17877245,-1.1188532,0.31550008,-0.73335564,1.5171659,-1.7576193,-0.18120149
-0.8112121,0.16414864,-0.71528125,0.9981228,-1.5362939,1.1501167,-1.5381346,1.656512
