,lr_history,train_total_loss_hist,train_trans_loss_hist,train_rot_loss_hist,train_hitch_loss_hist,train_acc_yaw_loss_hist,train_epoch_loss_history,rmse_train_history,val_total_loss_hist,val_trans_loss_hist,val_rot_loss_hist,val_hitch_loss_hist,val_acc_yaw_loss_hist,val_epoch_loss_history,rmse_val_history
43870,9.540887069138817e-06,0.00015606283,8.6753644e-05,4.0459104e-06,2.005325e-06,1.265159e-05,,,0.00035023934,5.986816e-05,1.7002419e-06,2.9738778e-06,5.713941e-05,,
43871,9.539194843227425e-06,0.000114472285,9.8778204e-05,8.7050637e-07,6.748413e-07,2.8297477e-06,,,0.00024529797,0.00012401158,6.495677e-07,3.8120022e-06,2.3364966e-05,,
43872,9.537502769149942e-06,0.0007511245,0.00027563504,6.0468874e-06,3.6365223e-06,9.3161216e-05,,,0.00028784946,0.00012034516,7.1499164e-07,3.6530937e-06,3.2627242e-05,,
43873,9.535810846912677e-06,0.00015514738,9.7333184e-05,1.151009e-06,1.690487e-06,1.0994541e-05,,,0.00018951694,6.073534e-05,7.706766e-07,1.8477556e-05,2.1906675e-05,,
43874,9.534119076521879e-06,0.00010417057,3.4642188e-05,1.6165454e-06,3.3692424e-06,1.2908517e-05,,,0.0006349126,0.00014341538,2.0495381e-06,3.1320362e-06,9.7263124e-05,,
43875,9.532427457983814e-06,0.000246914,0.00013066214,4.843675e-06,8.563231e-07,2.2110371e-05,,,0.00066481915,9.0077585e-05,2.7129947e-06,2.4920955e-06,0.00011390729,,
43876,9.530735991304778e-06,0.00030063663,0.00015781652,4.810902e-06,3.5961955e-07,2.7529917e-05,,,0.00018172462,4.9847636e-06,6.957397e-07,1.6543403e-05,3.1900145e-05,,
43877,9.52904467649102e-06,0.00025801914,0.00019346415,7.154561e-07,1.0460196e-06,1.2558705e-05,,,0.00025117473,4.8284543e-05,8.902482e-07,1.407758e-06,4.0118437e-05,,
43878,9.527353513548801e-06,0.00026108616,0.00013329308,1.6097434e-06,1.7264196e-06,2.4891382e-05,,,0.0009116679,0.0001239218,3.19173e-06,2.528518e-05,0.00015185383,,
43879,9.525662502484424e-06,0.00020101473,0.00010312655,1.630671e-06,6.084334e-07,1.9129815e-05,,,0.00025948632,7.788396e-05,8.4152515e-07,1.2424974e-06,3.5903664e-05,,
43880,9.52397164330413e-06,0.000701414,3.972654e-05,4.94041e-06,6.6142513e-07,0.00013121712,,,0.00011422238,3.6631573e-05,4.158006e-07,1.8325474e-06,1.506849e-05,,
43881,9.522280936014191e-06,0.00017831981,8.6436e-05,1.1532925e-06,1.2492656e-06,1.7896251e-05,,,0.00035937093,1.1416217e-05,2.1335904e-06,1.4349789e-05,6.629426e-05,,
43882,9.520590380620883e-06,0.0005686734,9.059687e-05,6.362557e-06,2.245219e-06,9.389376e-05,,,0.0007947728,8.828968e-05,2.9645205e-06,3.3246738e-06,0.00014003878,,
43883,9.518899977130459e-06,0.0015799839,0.001492373,2.8777906e-06,4.816046e-06,1.598341e-05,,,0.00046184447,7.053773e-05,1.8545861e-06,1.633159e-06,7.75638e-05,,
43884,9.517209725549185e-06,0.00019382355,0.00016292588,2.0974496e-06,4.974608e-07,5.6605513e-06,,,0.0008089035,8.7001434e-05,3.241642e-06,2.1253345e-06,0.00014330701,,
43885,9.515519625883344e-06,0.00038894566,0.000115739145,4.2783736e-06,6.998432e-06,5.238594e-05,,,0.00042805582,0.00017119112,1.2070427e-06,2.222077e-06,5.0687122e-05,,
43886,9.513829678139182e-06,0.00027061775,0.00010477318,2.6055154e-06,1.096937e-06,3.2428423e-05,,,0.00018558113,2.3950033e-05,6.878758e-07,1.7253949e-06,3.1843563e-05,,
43887,9.51213988232298e-06,0.0004038085,6.73311e-05,4.1136414e-06,4.725005e-06,6.552775e-05,,,0.00039890205,1.409087e-05,1.7171094e-06,1.9622135e-05,7.269438e-05,,
43888,9.510450238440992e-06,0.002949928,0.0024274823,3.6647018e-06,1.324413e-06,0.0001034913,,,0.00048612966,0.00023737112,1.1077498e-06,1.9280799e-06,4.9144543e-05,,
43889,9.508760746499469e-06,0.00041294043,0.0003230825,1.3408502e-06,6.108411e-07,1.7581253e-05,,,0.0002818931,0.00014275483,6.49594e-07,2.5224429e-06,2.7193244e-05,,
43890,9.507071406504703e-06,0.00015951705,8.412139e-05,1.8584294e-06,4.024036e-07,1.4626962e-05,,,0.00014976991,2.738809e-05,5.509118e-07,1.0085467e-06,2.4164472e-05,,
