,number,value,datetime_start,datetime_complete,duration,params_lr,system_attrs_grid_id,system_attrs_search_space,state
0,0,2.9269392490386963,2025-01-08 13:31:23.928047,2025-01-08 13:38:13.168752,0 days 00:06:49.240705,0.0008,0,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
1,1,2.6359755992889404,2025-01-08 13:38:13.170747,2025-01-08 13:45:42.234433,0 days 00:07:29.063686,0.00030000000000000003,1,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
2,2,2.339707612991333,2025-01-08 13:45:42.235433,2025-01-08 13:53:16.538954,0 days 00:07:34.303521,0.0002,2,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
3,3,2.3633615970611572,2025-01-08 13:53:16.540954,2025-01-08 14:00:51.633474,0 days 00:07:35.092520,0.0005,3,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
4,4,5.010561466217041,2025-01-08 14:00:51.634474,2025-01-08 14:08:21.083387,0 days 00:07:29.448913,0.0009000000000000001,4,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
5,5,1.986686110496521,2025-01-08 14:08:21.085387,2025-01-08 14:15:45.908564,0 days 00:07:24.823177,0.0007,5,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
6,6,1.920920968055725,2025-01-08 14:15:45.909565,2025-01-08 14:23:15.761744,0 days 00:07:29.852179,0.0004,6,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
7,7,2.4405651092529297,2025-01-08 14:23:15.763744,2025-01-08 14:30:41.815000,0 days 00:07:26.051256,0.0001,7,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
8,8,4.663716793060303,2025-01-08 14:30:41.817001,2025-01-08 14:38:13.251584,0 days 00:07:31.434583,0.0006000000000000001,8,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
