,number,value,datetime_start,datetime_complete,duration,params_lr,system_attrs_grid_id,system_attrs_search_space,state
0,0,2.796898603439331,2025-01-08 12:09:54.425535,2025-01-08 12:16:34.918648,0 days 00:06:40.493113,0.0008,0,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
1,1,1.8493696451187134,2025-01-08 12:16:34.920644,2025-01-08 12:23:48.931373,0 days 00:07:14.010729,0.00030000000000000003,1,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
2,2,2.065247058868408,2025-01-08 12:23:48.932374,2025-01-08 12:31:05.127477,0 days 00:07:16.195103,0.0002,2,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
3,3,1.360914945602417,2025-01-08 12:31:05.128477,2025-01-08 12:38:27.790935,0 days 00:07:22.662458,0.0005,3,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
4,4,75.99242401123047,2025-01-08 12:38:27.791934,2025-01-08 12:45:47.586571,0 days 00:07:19.794637,0.0009000000000000001,4,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
5,5,2.2315945625305176,2025-01-08 12:45:47.589571,2025-01-08 12:53:36.958438,0 days 00:07:49.368867,0.0007,5,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
6,6,4.238488674163818,2025-01-08 12:53:36.961438,2025-01-08 13:01:01.901335,0 days 00:07:24.939897,0.0004,6,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
7,7,2.156282901763916,2025-01-08 13:01:01.903335,2025-01-08 13:08:36.455192,0 days 00:07:34.551857,0.0001,7,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
8,8,1.764847993850708,2025-01-08 13:08:36.457191,2025-01-08 13:15:52.081262,0 days 00:07:15.624071,0.0006000000000000001,8,"{'lr': [np.float64(0.0001), np.float64(0.0002), np.float64(0.00030000000000000003), np.float64(0.0004), np.float64(0.0005), np.float64(0.0006000000000000001), np.float64(0.0007), np.float64(0.0008), np.float64(0.0009000000000000001)]}",COMPLETE
