,loss_history,rmse_train_history,rmse_val_history,std_train_history,std_val_history
0,0.11926823109388351,1.7258602,1.6966217,1.6966217,1.6790484
1,0.5320032835006714,1.8168573,1.9021796,1.9021796,1.6444544
2,1.0283483266830444,4.4159756,4.5389256,4.5389256,4.4454083
3,1.1223132610321045,1.856046,1.9019606,1.9019606,1.8423094
4,1.9932318925857544,1.8839105,1.9726665,1.9726665,1.9591224
5,0.11649295687675476,1.1072985,1.1221391,1.1221391,1.1218143
6,0.45546388626098633,1.001217,1.0032135,1.0032135,0.99238896
7,0.16348880529403687,0.95391995,0.9332911,0.9332911,0.9294572
8,1.3377171754837036,0.81924504,0.81392944,0.81392944,0.8075176
9,0.29203295707702637,0.85804534,0.9513424,0.9513424,0.941891
