,loss_history,rmse_train_history,rmse_val_history,std_train_history,std_val_history
0,0.2743595838546753,1.8973323,1.8382198,1.8382198,1.8056968
1,0.22526639699935913,3.827739,3.7690701,3.7690701,3.7232468
2,0.05317104607820511,1.7279614,1.6996828,1.6996828,1.6967914
3,0.171030655503273,4.37243,4.6723285,4.6723285,4.635106
4,0.08855808526277542,1.671779,1.680026,1.680026,1.6783977
5,0.017452899366617203,1.2311019,1.2414631,1.2414631,1.241446
6,0.058186694979667664,1.1543478,1.1467714,1.1467714,1.138812
7,0.015077284537255764,1.0747372,1.0464071,1.0464071,1.0440454
8,0.03034975379705429,0.97855026,1.0057163,1.0057163,1.0006121
9,0.046955037862062454,0.9184684,1.0537721,1.0537721,1.0534911
