,loss_history,rmse_train_history,rmse_val_history,std_train_history,std_val_history
0,6.919745445251465,4.581955,4.344658,4.344658,3.7442462
1,3.8724770545959473,2.4095957,2.4435723,2.4435723,2.3583715
2,0.3368908166885376,2.5134654,2.504748,2.504748,1.9451133
3,0.45278435945510864,2.0517013,2.2093427,2.2093427,2.204856
4,0.8353538513183594,2.066,1.9773842,1.9773842,1.7821367
5,0.1404205858707428,1.2976048,1.3740357,1.3740357,1.3710706
6,0.41419702768325806,1.1974533,1.2519407,1.2519407,1.2434974
7,2.010382652282715,1.3434342,1.2270448,1.2270448,1.1847547
8,0.7065826654434204,1.1584084,1.0692633,1.0692633,1.0370269
9,0.11232315003871918,1.0329622,1.0798016,1.0798016,1.078775
