10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
-0.16535044,-7.3921666,-12.913175,-2.895971,-0.45015043,-1.1046977,-3.3448322,-1.0149865
-2.0607922,-8.746331,-4.7522635,-2.5559967,1.0181899,-4.7776046,0.1317441,-2.5635133
3.2468588,-1.1159786,3.8345227,-1.4415882,1.1172942,-4.2523236,-1.9106189,0.5635623
1.9489361,-2.782228,0.58921224,3.1025057,-2.3568351,-3.2951922,-6.136252,-1.8032314
-5.818724,-3.1566186,-3.9034162,1.19401,-2.7539048,-1.5364732,-2.854307,0.96837735
-0.75102407,-4.570856,1.5954382,1.3290993,-7.3836517,-3.2685611,0.005522208,-2.2737322
2.1022058,-3.552383,-0.91002786,-0.66664094,-7.3059645,-5.600077,0.21793084,-1.9986123
-2.5532544,-6.153818,2.6315727,-5.4035287,-5.931515,-4.3486104,0.88394594,-2.0526118
-17.64912,-1.6691931,-1.0173267,1.6767371,1.8363663,-3.5478442,-0.69841754,5.682239
0.45244506,-1.0512446,-4.642915,-0.8754262,-5.11017,-3.6571476,0.45696694,3.657315
-1.6994671,-2.231226,-18.50245,-5.8135066,-5.8630958,-0.6178845,1.2179695,-1.1569042
-4.6641984,0.42750493,-4.9906635,-3.4622738,-2.1451352,-4.2708554,-0.23454528,4.453389
0.48782042,-1.5650946,-16.383896,1.7690693,-4.7129445,-6.617736,-0.05860985,-0.26995638
2.0041978,2.0221713,-0.9591907,-0.39415312,-5.0761657,-0.75373185,0.84651995,-0.32918435
0.42741933,-0.88763946,-0.37547684,2.70327,-3.0261238,-6.392288,-0.63208956,0.40505752
0.42721123,-3.3716066,-2.5931306,1.0445545,-4.3461566,-5.7735415,-5.088972,-0.8087319
-1.6526462,-5.94961,-0.52311563,-2.8487916,-0.6899447,3.4776812,-3.0404074,11.232966
-17.681194,-13.563514,-4.9194202,-3.1542835,3.89546,-6.5052595,0.20616242,0.52063113
-20.781933,-3.135685,-5.089538,0.44000503,-5.2049417,3.7444172,-5.1135573,3.7052767
-2.026888,-1.7153,-3.4454265,-0.6547906,-1.0155398,-5.723548,-1.2146227,1.2451161
0.96028525,-5.5796604,3.1586123,-2.3434548,-4.7265162,-8.156975,-1.1361507,-0.04114164
1.2399197,-0.81600136,-0.9931897,-1.1114014,-4.20207,-2.2899232,-0.22536549,2.0455596
