10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
0.6085344,-0.03258128,1.1517628,-0.2275059,-3.0066695,0.67968404,-0.20657223,0.22596997
-0.49192342,-0.27795327,-2.0515242,-0.1821065,-0.75049603,0.4759412,-0.82739544,0.22072096
-0.009295887,0.8352574,0.46484727,-0.051783077,-1.0611587,-0.4133596,-0.35752964,-1.6063887
-1.0874501,-2.1324747,-0.671008,-0.05018652,-0.44079646,0.33437872,-2.2524393,1.3409368
1.2428024,-1.0468118,0.21596289,0.3386476,-1.8285543,1.7976767,-0.441821,0.58597213
1.4284947,-0.08326769,-0.43828297,0.38329908,-0.120530635,1.790435,0.4346937,0.021474114
-0.60210717,4.0838885,0.6804678,-1.6315622,-0.23730808,-1.0654736,-0.53176093,0.8982245
-0.17528462,0.21574987,-0.10058307,0.15977177,-0.35816827,0.77907014,-0.29420698,1.7447034
-0.12613203,0.5024824,0.102633834,-1.067568,-0.27997968,0.15720363,-0.7147246,-0.03901062
-0.3366711,-0.30486393,0.24795379,-1.4747112,0.06987795,1.4732478,-0.45941216,0.2376291
-0.25779778,1.0285351,1.3737798,0.12150052,-0.23616743,0.018241726,-0.8893316,1.6784881
1.0249379,-0.7068981,1.096194,-0.019438718,-0.9951517,-0.008891198,-0.87469786,0.7451087
2.11869,-0.5339039,0.79555476,-2.026698,0.20028846,0.19184975,0.40825745,1.1251029
-0.056713298,-0.5293319,0.95877236,-2.788884,0.692477,-0.10116193,0.24842422,0.8473396
0.2177667,0.037308518,-1.5911155,-0.19460233,-0.77052045,-0.15659404,-1.1324111,0.75835925
1.5609884,1.7754892,0.4360384,0.11431004,-0.21021101,1.3477397,-2.622772,-0.5115572
0.8076485,-0.377248,0.2377435,-0.2779716,0.18879154,1.4115319,-0.5692143,0.7050394
0.29269162,-0.45294738,0.45889136,-2.507422,-0.25347856,-0.08299363,-0.34514993,-0.40037882
0.20656455,0.22129992,0.896061,-2.383203,0.37110636,1.4723002,0.261545,0.96324784
-1.2553067,0.012804363,-2.3206387,-1.9551347,-0.59082496,1.7576705,-1.8885609,7.911394
-0.07606643,0.3579934,-0.50906163,0.06675656,-0.11414441,-0.26067927,-1.2692608,-2.109644
