10_0_N,10_0_P,20_10_N,20_10_P,30_20_N,30_20_P,50_30_N,50_30_P
0.9567788,-0.30056998,-1.0523733,0.3111339,0.20176719,-0.08378593,-0.16358644,-1.3013968
-0.8425409,-0.2955632,0.46506414,-0.29738897,1.0823749,0.130431,-0.36601958,1.2532303
0.45278943,-0.057202563,-1.4875314,-0.9239188,0.41182622,-0.0831473,-0.49646592,-0.043996662
-0.0162765,0.046999864,0.8317966,-0.7349727,0.67921615,-0.43764776,-1.9466755,-0.37560233
-0.18071185,0.4215204,-0.40550318,-0.56536543,0.56203914,-0.23079549,-2.6614377,-0.47569874
0.047478136,-0.15912099,0.44571593,-1.3212514,0.54293513,-0.501592,-2.4803898,0.17469232
0.59018725,0.38858822,-1.8742208,-0.19466464,1.1830177,0.16611703,0.76175046,-0.17406395
-0.4530923,-0.34102407,-0.18178548,-0.32578975,1.3238118,4.296672,-4.2850914,3.7402592
-0.21581689,0.26493746,-0.5602975,-1.5174972,-0.82459164,-0.8156167,-0.9876965,-0.8583874
0.25838006,-0.59395194,-0.22743078,-0.968502,0.5504261,0.8004571,-0.3997573,0.5286532
-0.45804697,-0.20202589,1.2922888,0.050558764,0.81167233,1.1085311,-1.667454,-3.0187693
0.11846365,-0.09272072,0.1805714,-0.7038424,0.97826576,0.32787466,-1.8286704,0.5453974
-0.6804285,0.076128215,0.48481193,-0.8035367,-0.032743923,0.7191659,-0.9279051,-0.2832377
0.29324177,0.23460503,0.8974023,-0.557737,0.6881381,0.03056851,0.37017232,0.17388636
0.4031619,0.13101454,0.9616513,0.09563545,-0.74635524,0.4946508,-1.6092062,0.490551
0.041840028,0.009014142,0.64975417,-0.114184536,-0.16447437,-0.8288144,-0.6485845,1.2053713
-0.0969842,-0.42803684,1.1003476,-0.5782156,0.5324354,-0.05479519,-1.6865137,-0.47586608
0.44107395,-0.19990581,-0.5094194,7.467131,0.7996905,0.22867985,0.4100265,-1.4083508
-0.21078816,-0.8001894,1.2011681,-0.55527216,0.38454816,-0.82398033,-1.9588435,1.1115313
-0.2325914,-0.103069894,0.81185585,-1.0688844,0.17760882,0.004456698,-0.4999664,-0.14840634
0.00409171,-0.36846948,0.50201035,-0.49775597,0.58495104,-1.0971144,-0.5559364,2.6019092
0.07364011,0.43284357,1.0518951,-0.98921967,0.78094673,0.92950845,-2.2152796,3.3156981
0.21776381,0.38039967,0.89789915,0.06550919,1.0713339,0.14970578,-0.7337262,-0.24839006
0.5696173,0.3433572,0.8310009,-0.6668962,0.1103178,-0.72846866,-1.8320205,3.2171726
1.0350417,0.4858593,0.81446755,-0.4543544,-1.0852982,-0.5096089,0.5505337,0.13454789
0.06650512,-0.26850224,-0.04331023,-0.47141364,-0.80762714,-0.3535613,0.18395065,-0.35190156
0.5356806,0.7498972,-0.5352665,-0.9102695,0.4617276,-1.0790895,-2.1884778,-0.07040559
0.0015901533,-0.096564785,0.5498498,-0.5800922,1.0378506,0.009968661,-2.5003545,-0.37901402
0.15204811,0.07541244,-0.4811125,-1.1113554,-0.22560285,-0.25590327,-1.9987113,0.68040293
