,lr_history,train_total_loss_history,train_epoch_loss_history,rmse_train_history,val_total_loss_history,val_epoch_loss_history,rmse_val_history
0,4.6816479400749066e-08,0.43811107,0.027195768,0.01683121,0.0020295633,0.12347996,0.024611853
1,9.363295880149813e-08,0.22003502,0.001980731,0.012901206,0.13623603,0.023665985,0.016967827
2,1.4044943820224718e-07,0.25552133,0.00052744173,0.013844801,0.3555349,0.14778742,0.028432993
3,1.8726591760299626e-07,0.20184295,0.04846079,0.011425459,0.1614466,0.03634845,0.021714868
4,2.3408239700374534e-07,0.38663128,0.07501458,0.010993126,0.5927185,0.11782893,0.020675559
5,2.8089887640449437e-07,0.13594496,0.0151670845,0.009812716,0.078047186,0.2306451,0.0291755
6,3.277153558052435e-07,0.22295141,0.08978013,0.01706683,0.061885547,0.28626472,0.029170563
7,3.7453183520599253e-07,0.19109018,0.0004952898,0.01562857,0.04789698,0.034330852,0.029187562
8,4.213483146067416e-07,0.28553057,0.023792094,0.015075653,0.08376855,0.05968943,0.021755232
9,4.681647940074907e-07,0.3567799,0.0036277007,0.010378412,0.024238145,0.038959686,0.015708065
10,5.149812734082397e-07,0.034137946,0.0062542837,0.008606829,0.19032827,0.041252702,0.01790698
11,5.617977528089887e-07,0.47617218,0.023081562,0.007841574,0.095636174,0.040862016,0.015414261
12,6.086142322097379e-07,0.051006265,0.005115889,0.0068168193,0.23334876,0.10717606,0.020109698
13,6.55430711610487e-07,0.14445665,0.055154353,0.0054542804,0.19337241,0.099193744,0.013909975
14,7.02247191011236e-07,0.14963853,0.00083471,0.004423703,0.42879564,0.058138125,0.014837498
15,7.490636704119851e-07,0.2990505,0.0027938504,0.0038882666,0.23742782,0.05447613,0.016780078
16,7.958801498127341e-07,0.18479574,0.0031547667,0.0035972109,0.23922782,0.015604965,0.01744497
17,8.426966292134832e-07,0.051879037,0.0009087221,0.0033384098,0.037954375,0.002335822,0.014618676
18,8.895131086142322e-07,0.5498457,0.00048442843,0.002930791,0.15014233,0.08188211,0.014341742
19,9.363295880149814e-07,0.22281119,0.00013100014,0.0028168163,0.07839899,0.026663024,0.014375476
20,9.831460674157304e-07,0.2987261,0.001250981,0.0021266514,0.18993092,0.026893932,0.015543424
21,1.0299625468164794e-06,0.08735354,0.00016020436,0.0018729303,0.26711726,0.10673976,0.0148972515
22,1.0767790262172285e-06,0.46569306,0.0029702391,0.0016455256,0.251052,0.012972991,0.014969646
23,1.1235955056179775e-06,1.0261731,2.5752606e-05,0.0014689422,0.024750773,0.14849289,0.014577101
24,1.1704119850187266e-06,0.06835628,0.0035529402,0.0013230933,0.036951296,0.0702266,0.014525252
25,1.2172284644194758e-06,0.11128997,0.0019085881,0.0012246966,0.5794403,0.013430572,0.015773065
26,1.2640449438202247e-06,0.08887113,5.556777e-05,0.0009595906,0.26891145,0.05763499,0.014960696
27,1.310861423220974e-06,0.084352694,9.314287e-05,0.00091161113,0.03819653,0.11214348,0.014582723
28,1.3576779026217228e-06,0.05337082,0.00048645935,0.0007256622,0.18809435,0.1295531,0.015031648
29,1.404494382022472e-06,0.053601976,9.750507e-06,0.0006331222,0.17886987,0.09196212,0.014980365
30,1.4513108614232212e-06,0.14013939,,,0.010194568,,
31,1.4981273408239701e-06,0.25862885,,,0.0782512,,
32,1.544943820224719e-06,0.5229169,,,0.1091802,,
33,1.5917602996254682e-06,0.23949109,,,0.30219185,,
34,1.6385767790262172e-06,0.08044216,,,0.073151946,,
35,1.6853932584269663e-06,0.07873777,,,0.33541533,,
36,1.7322097378277155e-06,0.16617046,,,0.44323924,,
37,1.7790262172284644e-06,0.1308828,,,0.5444425,,
38,1.8258426966292136e-06,0.18986404,,,0.019594898,,
39,1.8726591760299627e-06,0.052772637,,,0.035845526,,
40,1.9194756554307115e-06,0.46886048,,,0.29408893,,
41,1.966292134831461e-06,0.05023816,,,0.15261309,,
42,2.01310861423221e-06,0.0625661,,,0.40769398,,
43,2.0599250936329587e-06,0.025056895,,,0.07526081,,
44,2.106741573033708e-06,0.043356817,,,0.3389738,,
45,2.153558052434457e-06,0.06119521,,,0.16244304,,
46,2.2003745318352064e-06,0.10501133,,,0.06606224,,
47,2.247191011235955e-06,0.013162759,,,0.097339235,,
48,2.2940074906367043e-06,0.041209582,,,0.120613754,,
49,2.3408239700374533e-06,0.09327599,,,0.10156328,,
50,2.3876404494382022e-06,0.07920815,,,0.0872871,,
51,2.4344569288389516e-06,0.09475497,,,0.14726134,,
52,2.4812734082397005e-06,0.11871195,,,0.39846343,,
53,2.5280898876404495e-06,0.0985154,,,0.02500769,,
54,2.574906367041199e-06,0.13475727,,,0.009913657,,
55,2.621722846441948e-06,0.46662244,,,0.26715907,,
56,2.6685393258426968e-06,0.11641381,,,0.23610844,,
57,2.7153558052434457e-06,0.04129659,,,0.057305627,,
58,2.762172284644195e-06,0.06539934,,,0.19319545,,
59,2.808988764044944e-06,0.024323074,,,0.23503986,,
60,2.855805243445693e-06,0.10626373,,,0.06078806,,
61,2.9026217228464423e-06,0.107214466,,,0.046413522,,
62,2.9494382022471913e-06,0.1784894,,,0.03225991,,
63,2.9962546816479402e-06,0.049589183,,,0.11705744,,
64,3.0430711610486896e-06,0.012905551,,,0.021561224,,
65,3.089887640449438e-06,0.021983335,,,0.12021639,,
66,3.1367041198501875e-06,0.051795326,,,0.01658184,,
67,3.1835205992509364e-06,0.029379535,,,0.16689435,,
68,3.230337078651686e-06,0.052745834,,,0.23676018,,
69,3.2771535580524343e-06,0.26585746,,,0.09349027,,
70,3.3239700374531833e-06,0.19983608,,,0.044761978,,
71,3.3707865168539327e-06,0.34955117,,,0.21350414,,
72,3.417602996254682e-06,0.109398715,,,0.1511865,,
73,3.464419475655431e-06,0.10884773,,,0.24327111,,
74,3.5112359550561803e-06,0.1418619,,,0.12068543,,
75,3.558052434456929e-06,0.1331306,,,0.112002485,,
76,3.604868913857678e-06,0.07915662,,,0.13317429,,
77,3.651685393258427e-06,0.110578574,,,0.43510783,,
78,3.698501872659176e-06,0.1017478,,,0.09786129,,
79,3.7453183520599255e-06,0.049400423,,,0.34028518,,
80,3.7921348314606744e-06,0.04247389,,,0.3154048,,
81,3.838951310861423e-06,0.12644535,,,0.17199564,,
82,3.885767790262172e-06,0.04168531,,,0.13385418,,
83,3.932584269662922e-06,0.18441318,,,0.19604841,,
84,3.97940074906367e-06,0.34075692,,,0.052645057,,
85,4.02621722846442e-06,0.05051836,,,0.36121824,,
86,4.073033707865169e-06,0.025777897,,,0.32782218,,
