,loss_history,rmse_train_history,rmse_val_history,std_train_history,std_val_history
0,0.39400309324264526,1.9184316,1.673821,1.673821,1.5966551
1,0.5875950455665588,2.1879065,2.168914,2.168914,2.1545365
2,0.08593302965164185,1.4501375,1.474479,1.474479,1.4626535
3,0.7300446033477783,4.2002444,4.5221353,4.5221353,4.4932427
4,13.972088813781738,2.5635755,2.5752017,2.5752017,2.49678
5,0.38505852222442627,1.5519161,1.5394558,1.5394558,1.5280246
6,0.046780530363321304,1.3050654,1.3358493,1.3358493,1.3358341
7,0.00435637217015028,1.3005233,1.281312,1.281312,1.2723389
8,0.21661366522312164,1.3315077,1.3535733,1.3535733,1.3529396
9,0.016647731885313988,1.1073679,1.0090735,1.0090735,1.0085285
