,number,value,datetime_start,datetime_complete,duration,params_LOSS_SCALE,params_lr,system_attrs_grid_id,system_attrs_search_space,state
0,0,29.847700119018555,2025-01-05 14:58:02.873369,2025-01-05 15:04:31.129026,0 days 00:06:28.255657,10.0,0.01,0,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
1,1,16.298965454101562,2025-01-05 15:04:31.131029,2025-01-05 15:11:45.023499,0 days 00:07:13.892470,10.0,0.001,1,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
2,2,22.282081604003906,2025-01-05 15:11:45.025474,2025-01-05 15:18:55.679864,0 days 00:07:10.654390,1000.0,0.001,2,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
3,3,2.9874870777130127,2025-01-05 15:18:55.680862,2025-01-05 15:26:08.733476,0 days 00:07:13.052614,100.0,1e-05,3,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
4,4,3.3077898025512695,2025-01-05 15:26:08.735476,2025-01-05 15:33:31.114035,0 days 00:07:22.378559,1000.0,1e-05,4,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
5,5,11.635952949523926,2025-01-05 15:33:31.115035,2025-01-05 15:40:55.465143,0 days 00:07:24.350108,1.0,1e-06,5,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
6,6,10.78876781463623,2025-01-05 15:40:55.466145,2025-01-05 15:48:18.724781,0 days 00:07:23.258636,100.0,1e-06,6,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
7,7,215.43751525878906,2025-01-05 15:48:18.726779,2025-01-05 15:55:38.731963,0 days 00:07:20.005184,1000.0,0.01,7,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
8,8,7.113622188568115,2025-01-05 15:55:38.733959,2025-01-05 16:02:54.624078,0 days 00:07:15.890119,100.0,0.001,8,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
9,9,2.6758060455322266,2025-01-05 16:02:54.626078,2025-01-05 16:10:12.271940,0 days 00:07:17.645862,10.0,1e-05,9,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
10,10,22.020946502685547,2025-01-05 16:10:12.272941,2025-01-05 16:17:22.613537,0 days 00:07:10.340596,10.0,1e-07,10,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
11,11,23.910907745361328,2025-01-05 16:17:22.615537,2025-01-05 16:24:33.051249,0 days 00:07:10.435712,100.0,0.01,11,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
12,12,18.58951759338379,2025-01-05 16:24:33.052256,2025-01-05 16:31:46.446732,0 days 00:07:13.394476,1.0,0.001,12,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
13,13,3.046111822128296,2025-01-05 16:31:46.448732,2025-01-05 16:39:03.921320,0 days 00:07:17.472588,1.0,1e-05,13,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
14,14,23.4846248626709,2025-01-05 16:39:03.923318,2025-01-05 16:46:15.501173,0 days 00:07:11.577855,1.0,0.01,14,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
15,15,24.425289154052734,2025-01-05 16:46:15.502173,2025-01-05 16:53:30.863182,0 days 00:07:15.361009,1000.0,1e-07,15,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
16,16,2.3869502544403076,2025-01-05 16:53:30.865182,2025-01-05 17:00:44.894098,0 days 00:07:14.028916,10.0,0.0001,16,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
17,17,12.103811264038086,2025-01-05 17:00:44.896097,2025-01-05 17:08:01.296383,0 days 00:07:16.400286,10.0,1e-06,17,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
18,18,12.1256685256958,2025-01-05 17:08:01.297383,2025-01-05 17:15:14.951182,0 days 00:07:13.653799,1000.0,1e-06,18,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
19,19,1.9540901184082031,2025-01-05 17:15:14.953181,2025-01-05 17:22:30.145033,0 days 00:07:15.191852,1.0,0.0001,19,"{'LOSS_SCALE': [1.0, 10.0, 100.0, 1000.0], 'lr': [1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}",COMPLETE
