,lr_history,train_total_loss_hist,train_trans_loss_hist,train_rot_loss_hist,train_epoch_loss_history,rmse_train_history,val_total_loss_hist,val_trans_loss_hist,val_rot_loss_hist,val_epoch_loss_history,rmse_val_history
13694,1.0235897365920047e-05,0.014981528,0.00049108476,0.014490443,,,,,,,
13695,1.0230667827112277e-05,0.0021549985,0.00023112325,0.0019238753,,,,,,,
13696,1.0225438933119058e-05,0.0026415272,0.0003952333,0.002246294,,,,,,,
13697,1.0220210684647346e-05,0.015347196,0.00012747114,0.015219725,,,,,,,
13698,1.021498308240399e-05,0.0014601095,0.00022253151,0.001237578,,,,,,,
13699,1.020975612709578e-05,0.0012348605,0.00010606398,0.0011287965,,,,,,,
13700,1.0204529819429387e-05,0.011005624,0.00025741354,0.01074821,,,,,,,
13701,1.0199304160111409e-05,0.0129081365,0.00065545604,0.01225268,,,,,,,
13702,1.0194079149848362e-05,0.0015357311,0.00028252607,0.001253205,,,,,,,
13703,1.0188854789346664e-05,0.00054501137,0.00019383286,0.0003511785,,,,,,,
13704,1.0183631079312655e-05,0.002858348,0.0001223681,0.0027359799,,,,,,,
13705,1.017840802045258e-05,0.0010876243,5.8112462e-05,0.0010295119,,,,,,,
13706,1.0173185613472589e-05,0.003648725,0.00020431877,0.0034444064,,,,,,,
13707,1.0167963859078764e-05,0.000690601,3.8580838e-05,0.00065202016,,,,,,,
13708,1.016274275797708e-05,0.0017189744,0.00013770552,0.001581269,,,,,,,
13709,1.0157522310873429e-05,0.0025526052,6.648207e-05,0.0024861232,,,,,,,
13710,1.0152302518473629e-05,0.0012522474,0.00012991531,0.0011223321,,,,,,,
13711,1.014708338148338e-05,0.0004528282,0.0001240959,0.00032873228,,,,,,,
13712,1.0141864900608322e-05,0.0014594384,0.0010468152,0.0004126232,,,,,,,
13713,1.0136647076553988e-05,0.0039622216,0.00024201765,0.003720204,,,,,,,
13714,1.0131429910025832e-05,0.0004904476,0.00018548642,0.0003049612,,,,,,,
13715,1.0126213401729218e-05,0.002621816,0.0022648466,0.00035696934,,,,,,,
13716,1.0120997552369416e-05,0.00080142624,0.00044843892,0.00035298732,,,,,,,
13717,1.0115782362651608e-05,0.0012686446,0.00021419622,0.0010544483,,,,,,,
13718,1.0110567833280894e-05,0.00086984783,0.00010033153,0.0007695163,,,,,,,
13719,1.0105353964962271e-05,0.00019527756,7.6301105e-05,0.00011897646,,,,,,,
13720,1.0100140758400663e-05,5.1809235e-05,1.9510893e-05,3.229834e-05,,,,,,,
13721,1.0094928214300895e-05,0.0010020628,0.00048425546,0.0005178073,,,,,,,
13722,1.0089716333367695e-05,0.0056523886,0.00026839622,0.005383992,,,,,,,
13723,1.0084505116305723e-05,0.0050116074,0.0003630384,0.004648569,,,,,,,
13724,1.0079294563819525e-05,0.007408408,0.00010441748,0.0073039904,,,,,,,
13725,1.0074084676613581e-05,0.0037428653,0.00046519667,0.0032776685,,,,,,,
13726,1.006887545539226e-05,0.003650157,0.00016354912,0.003486608,,,,,,,
13727,1.0063666900859852e-05,0.0005718352,0.00025309407,0.00031874113,,,,,,,
13728,1.0058459013720555e-05,0.0060995086,0.0001610179,0.005938491,,,,,,,
13729,1.0053251794678471e-05,0.005271511,0.00037399953,0.0048975116,,,,,,,
13730,1.0048045244437626e-05,0.004260675,0.000156048,0.004104627,,,,,,,
13731,1.004283936370194e-05,0.01983287,0.0025282826,0.017304588,,,,,,,
13732,1.0037634153175253e-05,0.011005267,0.0003805841,0.0106246825,,,,,,,
13733,1.0032429613561307e-05,0.002026584,7.8545025e-05,0.0019480389,,,,,,,
13734,1.0027225745563758e-05,0.0013588596,0.00026518133,0.0010936783,,,,,,,
13735,1.0022022549886168e-05,0.0024966428,9.3990835e-05,0.0024026518,,,,,,,
13736,1.0016820027232014e-05,0.00047834456,7.455715e-05,0.00040378742,,,,,,,
13737,1.0011618178304672e-05,0.0020134368,0.00030880503,0.0017046317,,,,,,,
13738,1.0006417003807443e-05,0.0049312334,0.00012084767,0.004810386,,,,,,,
13739,1.0001216504443518e-05,0.0009535382,0.0001905697,0.00076296856,,,,,,,
13740,9.996016680916006e-06,0.003839536,0.00039616623,0.0034433699,,,,,,,
13741,9.990817533927927e-06,0.0014372414,0.00010135707,0.0013358843,,,,,,,
13742,9.985619064182204e-06,0.0013348183,0.0001168155,0.0012180028,,,,,,,
13743,9.980421272381677e-06,0.006489285,0.00029512215,0.0061941626,,,,,,,
13744,9.975224159229083e-06,0.0059924414,0.00044100313,0.0055514383,,,,,,,
13745,9.97002772542707e-06,0.008185978,0.00046543588,0.0077205426,,,,,,,
13746,9.9648319716782e-06,0.010859826,0.000907729,0.009952096,,,,,,,
13747,9.959636898684944e-06,0.0007292929,0.00013093698,0.00059835595,,,,,,,
13748,9.95444250714967e-06,0.0016503573,6.367253e-05,0.0015866847,,,,,,,
13749,9.949248797774665e-06,0.0025740191,4.5233606e-05,0.0025287855,,,,,,,
13750,9.944055771262117e-06,0.0013465022,0.00026846983,0.0010780324,,,,,,,
13751,9.938863428314127e-06,0.0016534332,0.00019904303,0.0014543901,,,,,,,
13752,9.933671769632698e-06,0.0012939621,7.607052e-05,0.0012178916,,,,,,,
13753,9.92848079591974e-06,0.0033773035,0.0007044269,0.0026728765,,,,,,,
13754,9.923290507877086e-06,0.0016974044,0.00036301007,0.0013343943,,,,,,,
13755,9.918100906206448e-06,0.0017339323,0.0003938859,0.0013400464,,,,,,,
13756,9.912911991609472e-06,0.0035687934,0.000111223024,0.0034575704,,,,,,,
13757,9.907723764787698e-06,0.0027315337,7.096096e-05,0.0026605728,,,,,,,
13758,9.902536226442568e-06,0.0038424623,0.0001700487,0.0036724135,,,,,,,
13759,9.897349377275449e-06,0.0017230895,0.00022298883,0.0015001006,,,,,,,
13760,9.892163217987597e-06,0.0010482083,0.00018750518,0.0008607032,,,,,,,
13761,9.886977749280184e-06,0.0040842667,0.00032408338,0.0037601832,,,,,,,
13762,9.881792971854284e-06,0.0009599899,9.181694e-05,0.00086817297,,,,,,,
13763,9.876608886410884e-06,0.0018802395,0.00046656668,0.0014136728,,,,,,,
13764,9.871425493650875e-06,0.0008878071,0.00036808828,0.00051971886,,,,,,,
